parentNumber,recType,secKey_at,secKey_ts,secKey_tk,secKey_yr,secKey_mn,secKey_dy,secKey_xx,secKey_cp,secType,accnt,spdrSource,groupingCode,orderSide,clientFirm,altAccnt,altUserName,eventNumber,stageType,baseParentNumber,prevParentNumber,engineName,ticker_at,ticker_ts,ticker_tk,spdrBrokerStatus,spdrOrderStatus,spdrCloseReason,spdrRejectReason,spdrComment,marHaircutUtilized1,marHaircutUtilized2,marHaircutUtilized3,marTotalExposureUtilized1,marTotalExposureUtilized2,marTotalExposureUtilized3,bidPrc,askPrc,bidSize,askSize,uBid,uAsk,surfacePrc,surfaceVol,arriveNbboSize,arriveNbboExch,arriveCumSize,arriveNumExch,arriveLimitSize,arriveLimitPrc,avgFillPrc,cumFillQuan,numChildOrders,numDayChildOrders,openOrderSize,actionOrderSize,riskLimitSize,riskLimitDesc,riskLimitDetail,limitRefUPrc,limitPrice,limitVol,makeLimitPrice,makeLimitErr,makeLimitErrDesc,takeLimitPrice,takeLimitErr,takeLimitErrDesc,brokerState,makeState,takeState,mktCrossState,lastChildEvent,spdrMktState,numOrders,leavesQty,childOrderLeaves,arrivalSDiv,arrivalRate,arrivalDDiv,hedgeSecKey_at,hedgeSecKey_ts,hedgeSecKey_tk,hedgeSecKey_yr,hedgeSecKey_mn,hedgeSecKey_dy,hedgeSecType,theoOpx,theoVol,childOrderMask,priceFormat,uPriceFormat,userName,timestamp,timestamp_us
763530925416648015,New,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,2,None,763530925416648015,0,EE_S7_P_G,EQT,NMS,SPY,Active,New,None,None,,0,0,0,0,0,0,376.3099976,376.3299866,700,1400,0,0,0,0,14,NSDQ,14,4,0,376.3299866,0,0,0,0,7135,0,0,ActiveSize,"Zero Active Size",0,376.5181416,0,376.5181416,None,,376.5181416,None,,AlgoNormal,AccelTake,RiskHold,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,0,N2,None,srdemo003,"2021-01-28 08:39:58",234649
763530925416648015,Close,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,4,None,763530925416648015,0,EE_S7_P_G,EQT,NMS,SPY,Closed,Closed,Filled,None,,0,0,0,0,0,0,376.3500061,376.3599854,300,900,0,0,0,0,14,NSDQ,14,4,0,376.3299866,376.3500463,7135,13,13,0,0,200000,SizeCap,,0,376.5481604,0,376.3699854,None,,376.11197,None,,Done,None,None,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,1328896,N2,None,srdemo003,"2021-01-28 08:40:04",466650
763530925416648344,Replace,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,7,None,763530925416648015,763530925416648015,EE_S7_P_G,EQT,NMS,SPY,Active,New,None,None,,0,0,0,0,0,0,376.4299927,376.4500122,900,600,0,0,0,0,6,NSDQ,6,3,0,0,376.3500463,7135,0,13,13740,0,0,ActiveSize,,0,376.6382272,0,376.4573726,None,,376.2285672,None,,BrkrClosed,NotActive,InVld,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,0,N2,None,srdemo003,"2021-01-28 08:40:14",573408
763530925416648344,Close,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,9,None,763530925416648015,763530925416648015,EE_S7_P_G,EQT,NMS,SPY,Closed,Closed,Filled,None,,0,0,0,0,0,0,376.5,376.519989,1600,700,0,0,0,0,6,NSDQ,6,3,0,0,376.4498002,20875,36,49,0,0,200000,SizeCap,,0,376.708239,0,376.5247873,None,,376.5218566,None,,Done,None,None,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,292672,N2,None,srdemo003,"2021-01-28 08:40:19",855587
763530925416649137,Replace,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,12,None,763530925416648015,763530925416648344,EE_S7_P_G,EQT,NMS,SPY,Active,New,None,None,,0,0,0,0,0,0,376.2600098,376.2799988,600,1200,0,0,0,0,12,C2,12,4,0,376.2799988,376.4498002,20875,0,49,61364,0,0,ActiveSize,,0,376.4681288,0,376.283,None,,376.2806075,None,,BrkrClosed,NotActive,InVld,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,0,N2,None,srdemo003,"2021-01-28 08:40:48",248138
763530925416649145,Replace,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,15,None,763530925416648015,763530925416649137,EE_S7_P_G,EQT,NMS,SPY,Active,New,None,None,,0,0,0,0,0,0,376.2600098,376.2799988,700,1600,0,0,0,0,16,C2,16,6,0,0,376.4498002,20875,0,52,74828,-3500,0,ActiveSize,"Zero Active Size",0,376.4681288,0,376.2702948,None,,376.0975142,None,,AlgoNormal,NotActive,RiskHold,None,None,Open,1,3500,3500,0,0,0,None,None,,1900,0,0,None,0,0,0,N2,None,srdemo003,"2021-01-28 08:40:48",589456
763530925416649145,Close,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,17,None,763530925416648015,763530925416649137,EE_S7_P_G,EQT,NMS,SPY,Closed,Closed,Filled,None,,0,0,0,0,0,0,376.3999939,376.4100037,1100,400,0,0,0,0,16,C2,16,6,0,0,376.3963572,95703,175,227,0,0,200000,SizeCap,,0,376.5982037,0,376.151276,None,,376.5982037,None,,Done,None,None,None,ImmCxl,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,1406820,N2,None,srdemo003,"2021-01-28 08:40:57",708280
763530925416655015,Replace,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,20,None,763530925416648015,763530925416649145,EE_S7_P_G,EQT,NMS,SPY,Active,New,None,None,,0,0,0,0,0,0,378.1400146,378.1499939,500,400,0,0,0,0,4,NSDQ,4,4,0,378.1600037,376.3963572,95703,0,227,11883,0,0,ActiveSize,,0,378.3390639,0,377.9893101,None,,378.3390639,None,,BrkrClosed,AccelTake,InVld,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,0,N2,None,srdemo003,"2021-01-28 08:46:49",300592
763530925416655015,Close,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,22,None,763530925416648015,763530925416649145,EE_S7_P_G,EQT,NMS,SPY,Closed,Closed,Filled,None,,0,0,0,0,0,0,378.1600037,378.1799927,200,400,0,0,0,0,4,NSDQ,4,4,0,378.1600037,376.5933238,107586,52,279,0,0,200000,SizeCap,,0,378.3690727,0,378.1899927,None,,378.1870909,None,,Done,None,None,None,ImmCxl,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,1327936,N2,None,srdemo003,"2021-01-28 08:46:55",4049
763530925416655406,Replace,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,25,None,763530925416648015,763530925416655015,EE_S7_P_G,EQT,NMS,SPY,Active,New,None,None,,0,0,0,0,0,0,377.6600037,377.6700134,100,500,0,0,0,0,5,NSDQ,5,3,0,377.6700134,376.5933238,107586,0,279,425,0,0,ActiveSize,,0,377.8588434,0,377.6775198,None,,377.6732287,None,,BrkrClosed,NotActive,InVld,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,0,N2,None,srdemo003,"2021-01-28 08:49:05",534767
