,accnt,secKey_at,secKey_ts,secKey_tk,secKey_yr,secKey_mn,secKey_dy,secKey_xx,secKey_cp,secType,spdrSource,groupingCode,orderSide,execEngineType,userName,clientFirm,parentNumber,baseParentNumber,riskGroupId,triggerGroupId,strategy,altOrderId,packageId,altAccnt,altUserName,stageType,isFlagged,ticker_at,ticker_ts,ticker_tk,uPrc,uPrcOrder,nbboBid,nbboAsk,nbboBidSz,nbboAskSz,surfacePrc,surfaceVol,orderRefSDiv,orderRefSDivType,spdrBrokerStatus,spdrOrderStatus,spdrCloseReason,spdrRejectReason,isPermanentlyClosed,numExternRiskHold,lastExternRiskText,lastExternRiskReject,lastExternRiskReject_us,spdrComment,orderSize,orderActiveSize,updateDttm,updateDttm_us,goodTillDttm,goodTillDttm_us,leavesQuantity,avgFillPrice,avgFillUPrice,cumFillQuantity,avgFillVol,cumFillVega,cumFillTheta,cumFillDDelta,lastFillDttm,lastFillDttm_us,riskLimitSize,riskLimitDesc,limitPrice,limitErr,limitErrDesc,bestLimitOffset,makeProbLimit,makeSurfOffset,makeLimitPrice,makeLimitErr,takeProbLimit,takeSurfOffset,takeLimitPrice,takeLimitErr,autoHedge,hedgeInstrument,hedgeSecKey_at,hedgeSecKey_ts,hedgeSecKey_tk,hedgeSecKey_yr,hedgeSecKey_mn,hedgeSecKey_dy,hedgeSecType,hedgeBetaRatio,hedgeScope,hedgeTIF,externHedgeExDest,externHedgeParams,userData1,userData2,maxProgress,maxProgressDetail,maxProgressTime,maxProgressTime_us,brokerState,brokerCounter,makeState,makeCounter,takeState,takeCounter,mktRespState,mktRespCounter,mktCrossState,mktCrossCounter,progressRuleDetail,lastChildEvent,lastChildRejectDttm,lastChildRejectDttm_us,lastChildRejectText,spdrMktState,cpx1,csz1,cex1,cnt1,cpx2,csz2,cex2,cnt2,cMore,expiryKey,cnVol,cnYrs,cnUPrc,cnDe,cnDd,cnVe,cnGa,cnTh,cnPr,ddMult,priceFormat,uPriceFormat,underliersPerCn,underlierType,tickValue,pointValue,netAccDayWtVega,netAccDayDDelta,netSymDayWtVega,netSymDayDDelta,netExpDayWtVega,netGrpDayVega,netGrpDayDDelta,netGrpDayPremium,netGrpDayContracts,netGrpRMetric1,netGrpRMetric2,netGrpRMetric3,netGrpRMetric4,netGrpRMetric5,theoVol,theoPrc,numNewOrders,numParentLimits,brokerVwapMark,brokerVwapUMark,brokerQwapMark,brokerQwapUMark,vwapPnL,vwapDnPnL,uDriftVwapPnL,qwapPnL,qwapDnPnL,uDriftQwapPnL,numImprvChld,activeSeconds,withSeconds,aloneSeconds,workingSeconds,numRiskCancels,riskHoldSeconds,riskThrtlSeconds,numMakeThrottleSkips,sumMakeThrottleDelay,updateSrc,numUpdates,timestamp,timestamp_us
0,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3800.0,Call,Option,SpdrTicket,1055594579340693510,Sell,None,srdemo003,DEMO,1130363189750717889,1130363189750717889,1055594579340693510,1055594579340693510,srdemo003,,1055594579340693510,,,None,None,EQT,CBOE,SPX,3822.0510254,3780.6933594,134.8999939,135.6999969,45,61,135.406,0.22735,0.01987,Locked,Closed,Closed,UserCxl,None,No,0,,1900-01-01 00:00:00,0,"USER CXL: (brkr): user=srdemo003, ()",895,-1,2021-01-28 08:35:53,741596,2021-01-28 15:00:00,0,0,116.7947368,3781.6230726,95,0.23023,55.8023,-17.5693,0.0,2021-01-28 08:50:28,72496,0,MinGrpVe,134.769246,None,,0.0,-1.0,0.0,135.4060833,None,0.5,0.0,135.3618381,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,UserCxl,2021-01-28 11:15:21,240226,Done,16153,None,24491,None,342868,None,0,None,0,,None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.22736,0.13696,3822.1,0.53434,2042.31,5.60586,0.00123,-1.75071,113.199,3822.1,PartNickle,EQT,100,Equity,1.0,1.0,-153001.0,1865.18,-153001.0,-159937000.0,-153001.0,-499826.0,1865.18,-9976810.0,-896,89600.0,89600.0,89600.0,89600.0,89600.0,0.0,0.07014,548,0,129.517,3806.37,118.268,3785.98,-1208.65,-2464.83,1256.18,-139.921,-360.927,221.006,543,908.373,0.0,721.215,122354000.0,16,0.0,0.0,0,0.0,Done,425,2021-01-28 11:15:21,240226
1,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3805.0,Call,Option,SpdrTicket,1055594579340693510,Sell,None,srdemo003,DEMO,1130363189750717886,1130363189750717886,1055594579340693510,1055594579340693510,srdemo003,,1055594579340693510,,,None,None,EQT,CBOE,SPX,3822.0510254,3780.6933594,131.5999908,132.3999939,45,88,132.087,0.22588,0.01987,Locked,Closed,Closed,UserCxl,None,No,0,,1900-01-01 00:00:00,0,"USER CXL: (brkr): user=srdemo003, ()",895,-1,2021-01-28 08:35:53,730586,2021-01-28 15:00:00,0,0,117.4857143,3788.5072154,175,0.2299,78.3466,-24.6244,0.0,2021-01-28 08:51:04,557852,0,MinGrpVe,131.5489334,None,,0.0,-1.0,0.0,132.0870595,None,0.5,0.0,132.0508719,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,UserCxl,2021-01-28 11:15:21,735740,Done,14900,None,23754,None,342868,None,0,None,0,,None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.22589,0.13696,3822.1,0.52812,2018.51,5.61307,0.00124,-1.7424,114.9,3822.1,PartNickle,EQT,100,Equity,1.0,1.0,-153001.0,1865.18,-153001.0,-159937000.0,-153001.0,-499826.0,1865.18,-9976810.0,-896,89600.0,89600.0,89600.0,89600.0,89600.0,0.0,3.53577,541,0,127.948,3816.06,115.169,3785.97,-1830.85,-4377.61,2546.76,405.401,639.714,-234.313,531,908.696,0.0,718.111,125633000.0,16,0.0,0.0,0,0.0,Done,421,2021-01-28 11:15:21,735740
2,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3810.0,Call,Option,SpdrTicket,1055594579340693510,Sell,None,srdemo003,DEMO,1130363189750717890,1130363189750717890,1055594579340693510,1055594579340693510,srdemo003,,1055594579340693510,,,None,None,EQT,CBOE,SPX,3822.0510254,3780.6933594,128.3000031,129.0999908,45,38,128.808,0.22443,0.01987,Locked,Closed,Closed,UserCxl,None,No,0,,1900-01-01 00:00:00,0,"USER CXL: (brkr): user=srdemo003, ()",896,-1,2021-01-28 08:35:53,741596,2021-01-28 15:00:00,0,0,114.3891089,3788.5064516,101,0.22831,50.3309,-15.7148,0.0,2021-01-28 08:50:28,138560,0,MinGrpVe,128.1336729,None,,0.0,-1.0,0.0,128.8076503,None,0.5,0.0,128.7596322,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,UserCxl,2021-01-28 11:15:21,735740,Done,14900,None,24490,None,342868,None,0,None,0,,None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.22444,0.13696,3822.1,0.52182,1994.43,5.61895,0.00125,-1.73379,116.6,3822.1,PartNickle,EQT,100,Equity,1.0,1.0,-153001.0,1865.18,-153001.0,-159937000.0,-153001.0,-499826.0,1865.18,-9976810.0,-896,89600.0,89600.0,89600.0,89600.0,89600.0,0.0,3.53577,555,0,126.017,3819.23,112.119,3785.97,-1174.39,-2793.76,1619.37,229.322,362.9,-133.578,549,908.696,0.0,716.939,123300000.0,16,0.0,0.0,0,0.0,Done,417,2021-01-28 11:15:21,735740
3,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3815.0,Call,Option,SpdrTicket,1055594579340693510,Sell,None,srdemo003,DEMO,1130363189750717888,1130363189750717888,1055594579340693510,1055594579340693510,srdemo003,,1055594579340693510,,,None,None,EQT,CBOE,SPX,3822.0510254,3780.6933594,125.0,125.8999939,45,58,125.559,0.22297,0.01987,Locked,Closed,Closed,UserCxl,None,No,0,,1900-01-01 00:00:00,0,"USER CXL: (brkr): user=srdemo003, ()",897,-1,2021-01-28 08:35:53,741596,2021-01-28 15:00:00,0,0,109.8460432,3785.7122882,139,0.22634,72.4875,-22.4655,0.0,2021-01-28 08:50:28,127550,0,MinGrpVe,124.9732772,None,,0.0,-1.0,0.0,125.5588046,None,0.5,0.0,125.5884932,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,UserCxl,2021-01-28 11:15:21,735740,Done,14900,None,23509,None,342868,None,0,None,0,,ImmCxl,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.22299,0.13696,3822.1,0.51544,1970.05,5.62347,0.00126,-1.72472,118.35,3822.1,PartNickle,EQT,100,Equity,1.0,1.0,-153001.0,1865.18,-153001.0,-159937000.0,-153001.0,-499826.0,1865.18,-9976810.0,-896,89600.0,89600.0,89600.0,89600.0,89600.0,0.0,3.53577,527,0,124.785,3818.82,109.09,3785.97,-2076.57,-4448.9,2372.32,105.088,86.4866,18.6017,520,908.696,0.0,709.686,118920000.0,16,0.0,0.0,0,0.0,Done,410,2021-01-28 11:15:21,735740
4,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3820.0,Call,Option,SpdrTicket,1055594579340693510,Sell,None,srdemo003,DEMO,1130363189750717887,1130363189750717887,1055594579340693510,1055594579340693510,srdemo003,,1055594579340693510,,,None,None,EQT,CBOE,SPX,3822.0510254,3780.6933594,121.7999954,122.6999969,45,119,122.338,0.22152,0.01987,Locked,Closed,Closed,UserCxl,None,No,0,,1900-01-01 00:00:00,0,"USER CXL: (brkr): user=srdemo003, ()",899,-1,2021-01-28 08:35:53,741596,2021-01-28 15:00:00,0,0,105.7720207,3783.7035823,386,0.22447,211.232,-64.9387,0.0,2021-01-28 08:50:28,94518,0,MinGrpVe,121.7312154,None,,0.0,-1.0,0.0,122.3382386,None,0.5,0.0,122.3285841,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,UserCxl,2021-01-28 11:15:21,240226,Done,16153,None,24490,None,342869,None,0,None,0,,ImmCxl,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.22153,0.13696,3822.1,0.50898,1945.37,5.62657,0.00127,-1.71515,120.149,3822.1,PartNickle,EQT,100,Equity,1.0,1.0,-153001.0,1865.18,-153001.0,-159937000.0,-153001.0,-499826.0,1865.18,-9976810.0,-896,89600.0,89600.0,89600.0,89600.0,89600.0,0.0,0.07014,587,0,122.516,3822.63,106.103,3785.98,-6463.31,-14111.3,7648.04,-127.66,-574.271,446.612,567,908.373,0.0,710.063,129149000.0,16,0.0,0.0,0,0.0,Done,441,2021-01-28 11:15:21,240226
5,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3860.0,Call,Option,SpdrTicket,1055561182039969799,Buy,None,srdemo003,DEMO,1130363144452468678,1130363144452468678,1055561182039969799,1055561182039969799,srdemo003,,1055561182039969799,,,None,None,EQT,CBOE,SPX,3860.9279785,3858.3029785,104.8999939,105.2999954,38,25,105.145,0.18567,0.01795,Locked,Closed,Closed,Expired,None,No,0,,1900-01-01 00:00:00,0,GoodTillDttm Reached,250,-1,2021-01-26 08:53:02,648350,2021-01-26 09:53:02,648350,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1900-01-01 00:00:00,0,227,MaxGrpDD,109.0779095,None,,0.0,-1.0,0.0,105.1380293,None,-1.0,0.0,105.1380293,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Expired,2021-01-26 09:53:03,510869,Done,6425,None,11121,None,0,None,0,None,0,,None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.18567,0.14458,3860.93,0.50274,1941.05,5.84135,0.00146,-1.38974,104.172,3860.93,PartNickle,EQT,100,Equity,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034,0,103.755,3854.92,105.328,3858.61,0.0,0.0,0.0,0.0,0.0,0.0,884,3599.46,43.7542,3085.1,189797000.0,120,0.0,0.0,0,0.0,Done,894,2021-01-26 09:53:03,510869
6,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3860.0,Call,Option,SpdrTicket,1055561182039969800,Buy,None,srdemo003,DEMO,1130363144452495792,1130363144452495792,1055561182039969800,1055561182039969800,srdemo003,,1055561182039969800,,,None,None,EQT,CBOE,SPX,3849.0854492,3848.4375,99.7999954,100.4000015,76,25,100.065,0.18751,0.01783,Locked,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,500,500,2021-01-26 10:53:50,142820,2021-01-26 11:54:00,142820,0,101.0564,3850.9685776,500,0.18741,122.046,-29.4519,0.0,2021-01-26 11:47:51,430088,186,MaxGrpDD,100.4250015,None,,0.0,0.45,0.0,100.2501004,None,0.37957,0.0,100.3703158,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Filled,2021-01-26 11:47:51,584233,Done,6387,None,10573,None,184801,None,0,None,0,"TwapAlpha STEP: step=10 of 10, lag=0.00, tSize=500, tFilled=450, tExpSz=50, tTgt=500, tAct=50, tPrb=0.45, tClass=Probability, elapsed=3213.8s, dur=3570.0s, mocSz=0 [None]",None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.18754,0.14376,3849.19,0.4859,1870.31,5.80453,0.00145,-1.40743,100.1,3849.19,PartNickle,EQT,100,Equity,1.0,1.0,71647.5,9353170.0,71647.5,94038100.0,71647.5,290585.0,9353170.0,5039320.0,500,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0,0.0,0.0,382,0,101.582,3853.23,101.166,3852.14,262.709,812.114,-549.405,54.907,338.706,-283.799,365,1528.05,74.094,1329.17,57613500.0,120,0.0,0.0,0,0.0,Done,346,2021-01-26 11:47:51,584233
7,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3860.0,Call,Option,SpdrTicket,1055586195216363526,Sell,None,srdemo003,DEMO,1055586195216363527,1136625985333422024,1055586195216363526,1055586195216363526,srdemo003,,1055586195216363526,,,None,None,EQT,CBOE,SPX,3778.0549316,3798.1679688,79.0,79.7999954,105,227,79.3315,0.20952,0.01983,Locked,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,500,-1,2021-01-27 11:58:40,235605,2021-01-27 15:00:00,0,0,81.2434,3789.5487686,500,0.20419,49.4405,-13.5879,0.0,2021-01-27 13:18:31,950883,393,MinGrpDD,71.5836549,None,,0.0,-1.0,0.0,79.3385936,None,0.45,0.0,78.9301159,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Filled,2021-01-27 13:18:32,248179,Done,23837,None,33717,None,425872,None,0,None,0,,None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.20953,0.1396,3778.1,0.39521,1493.13,5.42491,0.0013,-1.53183,79.4,3778.1,PartNickle,EQT,100,Equity,1.0,1.0,-75091.7,-1015160.0,-75091.7,-77278800.0,-75091.7,-275025.0,-1015160.0,-4083240.0,-500,50000.0,50000.0,50000.0,50000.0,50000.0,0.0,3.51767,4052,0,80.28,3782.78,82.2318,3790.9,481.701,1818.93,-1337.23,-494.202,-760.852,266.65,4031,11672.5,131.921,10004.0,834276000.0,35,0.0,0.0,0,0.0,Done,3133,2021-01-27 13:18:32,248179
8,T.SRDEMO003,EQT,NMS,SPXW,2021,3,19,3850.0,Call,Option,SpdrTicket,1055531769768939528,Buy,None,srdemo003,DEMO,1136625940034889922,1136625940034889922,1055531769768939528,1055531769768939528,srdemo003,,1055531769768939528,,,None,None,EQT,CBOE,SPX,3848.7983398,3854.8579102,108.5999985,109.0,47,1,108.799,0.19095,0.01796,Locked,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,1000,1000,2021-01-25 09:09:42,684371,2021-01-25 13:09:52,684371,0,105.5097,3840.6406416,1000,0.19205,3533.64,-837.737,0.0,2021-01-25 12:46:00,114167,139,MaxGrpDD,109.025,None,,0.0,0.5,0.0,108.943665,None,0.45,0.0,109.0230277,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Filled,2021-01-25 12:46:00,422473,Done,27577,None,45020,None,555551,None,0,None,0,"TwapAlpha STEP: step=10 of 10, lag=0.00, tSize=1,000, tFilled=900, tExpSz=100, tTgt=1,000, tAct=100, tPrb=0.45, tClass=Probability, elapsed=12933.5s, dur=14370.0s, mocSz=0 [None]",ImmCxl,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.19095,0.14966,3848.8,0.5008,1927.47,5.92438,0.0014,-1.40472,108.8,3848.8,PartNickle,EQT,100,Equity,1.0,1.0,146165.0,13494700.0,146165.0,187986000.0,146165.0,592097.0,13494700.0,10400400.0,1000,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,0.0,0.30107,888,0,0.0,0.0,105.86,3841.25,0.0,0.0,0.0,350.026,654.702,-304.676,527,1099.37,9.66823,772.575,117393000.0,0,0.0,0.0,0,0.0,Done,561,2021-01-25 12:46:00,422473
9,T.SRDEMO003,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,AutoHedgeSrvr,1055594579340693510,Buy,None,srdemo003,DEMO,763530925416657525,763530925416648015,1055594579340693510,0,srdemo003,,1055594579340693510,,,None,None,EQT,NMS,SPY,0.0,0.0,377.7099915,377.730011,100,1600,0.0,0.0,0.0,None,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,423718,423718,2021-01-28 08:51:04,812487,2021-01-28 08:51:24,812487,0,377.4753639,0.0,423718,0.0,0.0,0.0,0.0,2021-01-28 08:51:10,102634,200000,SizeCap,377.918866,None,,0.0,0.495,0.0,377.6924767,None,0.50337,0.0,377.6883509,None,None,None,None,None,,1900,0,0,None,0.0,None,None,,,,,Closed,Filled,2021-01-28 08:51:10,113645,Done,8687,None,8667,None,9121,None,0,None,0,"TwapAlpha STEP: step=2 of 2, lag=0.01, tSize=3,432, tFilled=1,716, tExpSz=1,716, tTgt=3,432, tAct=1,716, tPrb=0.90, tClass=Probability, elapsed=4.5s, dur=9.0s, mocSz=0 [None]",None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N2,None,1,Equity,0.01,1.0,-153001.0,1865.18,0.0,159939000.0,0.0,-499826.0,1865.18,-9976810.0,-896,89600.0,89600.0,89600.0,89600.0,89600.0,0.0,0.0,1057,0,377.024,0.0,377.364,0.0,-191244.0,0.0,0.0,-47090.6,0.0,0.0,34,34.7432,2.15444,12.2071,16810700.0,0,0.0,0.0,0,0.0,Done,66,2021-01-28 08:51:10,113645
