,fillNumber,version,execEngineType,sysEnvironment,runStatus,dataCenter,execStatus,execShape,packageId,parentNumber,parentVersion,baseParentNumber,clOrdId,reviewClOrdId,altFillId,altOrderId,altCrossId,altLegRefId,altAccnt,altUserName,srcRoutingCode,riskGroupId,triggerGroupId,triggerTimestamp,streetClOrdId,streetOrderId,faceSide,faceShape,parentShape,secKey_at,secKey_ts,secKey_tk,secKey_yr,secKey_mn,secKey_dy,secKey_xx,secKey_cp,secType,ticker_at,ticker_ts,ticker_tk,accnt,clientFirm,spdrSource,groupingCode,routingCode,engineName,gatewayName,execRole,execBrokerMPID,execBrokerAccnt,execBrokerClFirm,execUsername,clearingFlipType,clearingFlipFirm,clearingFlipAccnt,clearingFirm,clearingAccnt,origExecID,lastExecID,remoteText,orderSide,spdrOrderStatus,spdrCloseReason,cumFillQuantity,avgFillPrice,cumLegFillQuantity,avgLegFillPrice,leavesQty,priceType,childShape,childSize,childPrice,childDttm,childDttm_us,childExch,childExDest,childExecBroker,childIsDirected,childIsoSweep,childOrderHandling,childAlgoHandler,childCreateReason,childCancelReason,childMakerTaker,childUBid,childUAsk,childBid,childAsk,childMark,childVol,childProb,childLimitRefUPrc,childLimitPrc,childVolAtm,childPosType,childFirmOptPosition,childSSaleFlag,childFirmStkPosition,childFirmOpenOrders,childLocateQuan,childLocateFirm,childLocatePool,childLocateSource,childMktStance,childCxlAttempted,childCxlFillLatency,childMethod,childSource,firmType,priAggGroup,secAggGroup,fillTransactDttm,fillTransactDttm_us,fillTs,fillDttm,fillDttm_us,fillExch,fillExecId,fillExecRefId,fillLegRefId,fillLegRatio,fillExchFee,fillMarket,fillPrice,fillQuantity,fillReportDetail,fillBid,fillAsk,fillMark,fillUMark,fillUBid,fillUAsk,fillUBidSz,fillUAskSz,fillVolAtm,fillMark1M,fillMark10M,fillBid1M,fillAsk1M,fillBid10M,fillAsk10M,fillUMark1M,fillUMark10M,fillVolAtm1M,fillVolAtm10M,fillState1M,fillState10M,fillVol,fillProb,fillLimitRefUPrc,fillLimitRefSDiv,fillLimitPrc,fillVe,fillGa,fillDe,fillTh,fillPr,fillVeRatio,fillBeta,fillRiskMetric1,fillRiskMetric2,fillRiskMetric3,fillRiskMetric4,fillRiskMetric5,fillS08Dn,fillS06Up,fillS15Dn,fillS15Up,fillS50Dn,fillS50Up,fillBrkrRate,fillRoutingRate,riskCode,billingSecType,billingCategory,spdrLiquidityTag,exchLiquidityTag,fillExchDetail,lastCapacity,exchFirmType,extExecBroker,relationshipType,clArriveMark,parentDttm,parentDttm_us,parentOrderSize,parentUBid,parentUAsk,parentUMark,parentBid,parentAsk,parentMark,parentLimitVol,parentLimitPrc,parentLimitRefUPrc,parentTheoVol,parentTheoPrc,parentPosType,parentSSaleFlag,crossID,noticePrc,numMakeExchanges,publicSize,canOverlapCxlRepl,progressRule,exchMaskEnabled,timeInForce,parentOrderHandling,parentBalanceHandling,orderLimitType,orderLimitClass,takeReachRule,overrideCode,alphaType,parentStrategy,userName,autoHedge,hedgeSecKey_at,hedgeSecKey_ts,hedgeSecKey_tk,hedgeSecKey_yr,hedgeSecKey_mn,hedgeSecKey_dy,hedgeSecType,hedgeBetaRatio,hedgeScope,userData1,userData2,years,underliersPerCn,underlierType,tickValue,pointValue,minTickSize,priceFormat,uPriceFormat,liveUPrc,liveMark,srcTimestamp,sgwTimestamp,engTimestamp,timestamp,timestamp_us
0,784782286503837058,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055594579340693510,1130363189750717889,1,1130363189750717889,784782286503837048,,0,,,,,,,1055594579340693510,1055594579340693510,0,,AE41B54E5147D7B,Cust,None,Single,EQT,NMS,SPX,2021,3,19,3800.0,Call,Option,EQT,CBOE,SPX,T.SRDEMO003,DEMO,SpdrTicket,1055594579340693510,local.simulator,EE_S7_P_F,,None,$SIM,,,,None,,,,,,AE41B54E5147D81,[fill]: SIM/quote taker,Sell,New,None,15,112.5,0,0.0,880,None,Single,30,112.5,2021-01-28 08:39:57,979135,CBOE,CBOEOPT,,Yes,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,3774.1130371,3774.3139648,112.5,113.5,112.37854,0.22913,0.52651,3774.2133789,112.4499969,0.23459,Opening,0,None,0,0,0,,,,ExchMrkt,None,0.0,exch.tkr,active.taker,Customer,T.SRDEMO003,,2021-01-28 08:39:57,979135,4449839.6748716,2021-01-28 08:39:57,979135,CBOEOPT,AE41B54E5147D81,,0,0,0.81,CBOEOPT,112.5,15,,112.5,113.5,112.37854,3774.2133789,3774.1130371,3774.3139648,99,99,0.23459,113.8420334,120.0643997,113.3999939,114.3999939,119.5999985,121.0,3775.2587891,3787.3969727,0.23634,0.23329,OK,OK,0.22908,0.52651,3774.2634277,0.0,112.4737473,5.56879,0.00124,0.47433,-1.74091,113.25,0.99537,1.00053,-1.0,-1.0,-1.0,-1.0,-1.0,-90.7637,145.152,-111.427,475.437,-115.132,2304.93,0.0,0.0,None,EqtOption,Alpha,,R,,None,,$SIM,None,0.0,2021-01-28 08:35:53,741596,895,3780.6430664,3780.7438965,3780.6933594,114.3999939,115.5,114.7944641,0.2267,0.0,0.0,0.0,0.0,Auto,Auto,0,0.0,1,None,No,Immediate,No,Day,ActiveTaker,PostLimit,Vol,Probability,Immediate,Both,Static,srdemo003,srdemo003,SpdrAuto,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,AUTODD=1,,0.13807,100,Equity,1.0,1.0,0.1,PartNickle,EQT,3774.2133789,112.5049973,0,0,1611844797987130300,2021-01-28 08:49:58,34363
1,784782286503837170,1,Core,V7_Stable,Prod,NY4,MktMiss,None,1055594579340693510,1130363189750717889,1,1130363189750717889,784782286503837048,,0,,,,,,,1055594579340693510,1055594579340693510,0,,AE41B54E5147D7B,Cust,None,Single,EQT,NMS,SPX,2021,3,19,3800.0,Call,Option,EQT,CBOE,SPX,T.SRDEMO003,DEMO,SpdrTicket,1055594579340693510,local.simulator,EE_S7_P_F,,None,$SIM,,,,None,,,,,,,user cxl,Sell,New,None,15,112.5,0,0.0,880,None,Single,30,112.5,2021-01-28 08:39:57,979135,CBOE,CBOEOPT,,None,None,ActiveTaker,ActiveTaker,TakeExch,ChildFlashCxl,Taker,3774.1130371,3774.3139648,112.5,113.5,112.37854,0.22913,0.52651,3774.2133789,112.4499969,0.23459,Opening,0,None,0,0,0,,,,ExchMrkt,Yes,0.0,exch.tkr,active.taker,Customer,T.SRDEMO003,,1900-01-01 00:00:00,0,0.0,2021-01-28 08:39:58,23178,,,,0,0,0.0,,112.5,0,,0.0,0.0,112.711174,0.0,0.0,0.0,0,0,0.2353,113.8420334,120.0643997,113.3999939,114.3999939,119.5999985,121.0,3775.2587891,3787.3969727,0.23634,0.23329,OK,OK,0.22904,0.51832,3774.3134766,0.0,0.0,5.56915,0.00123,0.47458,-1.74509,113.25,0.99592,1.00053,-1.0,-1.0,-1.0,-1.0,-1.0,-90.7637,145.152,-111.427,475.437,-115.132,2304.93,0.0,0.0,None,EqtOption,Alpha,,,,None,,$SIM,None,0.0,2021-01-28 08:35:53,741596,895,3780.6430664,3780.7438965,3780.6933594,114.3999939,115.5,114.7944641,0.2267,0.0,0.0,0.0,0.0,Auto,Auto,0,0.0,1,None,No,Immediate,No,Day,ActiveTaker,PostLimit,Vol,Probability,Immediate,Both,Static,srdemo003,srdemo003,SpdrAuto,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,AUTODD=1,,0.13807,100,Equity,1.0,1.0,0.1,PartNickle,EQT,3774.3137207,112.711174,0,0,1611844798025080200,2021-01-28 08:49:58,34363
2,798715297374455350,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055594579340693510,763530925416648015,1,763530925416648015,798715297374455324,,0,,,,,,,1055594579340693510,0,0,,B159B54C8ACC631,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055594579340693510,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B54C8ACC635,[fill]: SIM/quote taker,Buy,New,None,575,376.33,0,0.0,6560,None,Single,575,376.3299866,2021-01-28 08:39:58,760114,BATS,BATSSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,376.3200073,376.3299866,0.0,0.0,0.52455,0.0,376.3399963,0.0,None,0,Long,7258,0,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.11,active.taker,Customer,T.SRDEMO003,,2021-01-28 08:39:58,760114,4449847.7319595,2021-01-28 08:39:58,760114,BATSSTK,B159B54C8ACC635,,0,0,0.003,BATSSTK,376.33,575,,376.3200073,376.3299866,376.3200073,0.0,376.3200073,376.3299866,300,700,0.0,376.4100037,377.6300049,376.4299927,376.4500122,377.6199951,377.6300049,376.4100037,377.6300049,0.0,0.0,OK,OK,0.0,0.52452,0.0,0.0,376.3399963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-28 08:39:58,234649,7135,0.0,0.0,0.0,376.3099976,376.3299866,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611844798767898100,2021-01-28 08:49:58,850421
3,798715297374455357,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055594579340693510,763530925416648015,1,763530925416648015,798715297374455328,,0,,,,,,,1055594579340693510,0,0,,B159B54C8ACC639,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055594579340693510,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B54C8ACC63C,[fill]: SIM/quote taker,Buy,New,None,850,376.33,0,0.0,6285,None,Single,275,376.3299866,2021-01-28 08:39:58,760114,ARCA,ARCASTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,376.3200073,376.3299866,0.0,0.0,0.52455,0.0,376.3399963,0.0,None,0,Long,7258,0,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.11,active.taker,Customer,T.SRDEMO003,,2021-01-28 08:39:58,760114,4449847.7325583,2021-01-28 08:39:58,760114,ARCASTK,B159B54C8ACC63C,,0,0,0.003,ARCASTK,376.33,275,,376.3200073,376.3299866,376.3200073,0.0,376.3200073,376.3299866,300,700,0.0,376.4100037,377.6300049,376.4299927,376.4500122,377.6199951,377.6300049,376.4100037,377.6300049,0.0,0.0,OK,OK,0.0,0.52452,0.0,0.0,376.3399963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-28 08:39:58,234649,7135,0.0,0.0,0.0,376.3099976,376.3299866,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611844798768501900,2021-01-28 08:49:58,850421
4,798715297374455363,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055594579340693510,763530925416648015,1,763530925416648015,798715297374455333,,0,,,,,,,1055594579340693510,0,0,,B159B54C8ACC63F,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055594579340693510,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B54C8ACC642,[fill]: SIM/quote taker,Buy,New,None,1125,376.33,0,0.0,6010,None,Single,275,376.3299866,2021-01-28 08:39:58,760114,NSDQ,NSDQSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,376.3200073,376.3299866,0.0,0.0,0.52455,0.0,376.3399963,0.0,None,0,Long,7258,0,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.11,active.taker,Customer,T.SRDEMO003,,2021-01-28 08:39:58,760114,4449847.7329158,2021-01-28 08:39:58,760114,NSDQSTK,B159B54C8ACC642,,0,0,0.003,NSDQSTK,376.33,275,,376.3200073,376.3299866,376.3200073,0.0,376.3200073,376.3299866,300,700,0.0,376.4100037,377.6300049,376.4299927,376.4500122,377.6199951,377.6300049,376.4100037,377.6300049,0.0,0.0,OK,OK,0.0,0.52452,0.0,0.0,376.3399963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-28 08:39:58,234649,7135,0.0,0.0,0.0,376.3099976,376.3299866,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611844798768860300,2021-01-28 08:49:58,850421
5,798715297374455370,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055594579340693510,763530925416648015,1,763530925416648015,798715297374455339,,0,,,,,,,1055594579340693510,0,0,,B159B54C8ACC646,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055594579340693510,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B54C8ACC649,[fill]: SIM/quote taker,Buy,New,None,1400,376.33,0,0.0,5735,None,Single,275,376.3299866,2021-01-28 08:39:58,760114,NYSE,NYSESTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,376.3200073,376.3299866,0.0,0.0,0.52455,0.0,376.3399963,0.0,None,0,Long,7258,0,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.11,active.taker,Customer,T.SRDEMO003,,2021-01-28 08:39:58,760114,4449847.7332835,2021-01-28 08:39:58,760114,NYSESTK,B159B54C8ACC649,,0,0,0.003,NYSESTK,376.33,275,,376.3200073,376.3299866,376.3200073,0.0,376.3200073,376.3299866,300,700,0.0,376.4100037,377.6300049,376.4299927,376.4500122,377.6199951,377.6300049,376.4100037,377.6300049,0.0,0.0,OK,OK,0.0,0.52452,0.0,0.0,376.3399963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-28 08:39:58,234649,7135,0.0,0.0,0.0,376.3099976,376.3299866,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611844798769230600,2021-01-28 08:49:58,850421
6,798715297374455529,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055594579340693510,763530925416648015,1,763530925416648015,798715297374455510,,0,,,,,,,1055594579340693510,0,0,,B159B54C8ACC6E1,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055594579340693510,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B54C8ACC6E7,[fill]: SIM/quote taker,Buy,New,None,2000,376.33,0,0.0,5135,None,Single,600,376.3299866,2021-01-28 08:39:58,847222,BATS,BATSSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,376.3200073,376.3299866,0.0,0.0,0.50665,0.0,376.3315735,0.0,None,0,Long,8658,0,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.11,active.taker,Customer,T.SRDEMO003,,2021-01-28 08:39:58,847222,4449847.8162298,2021-01-28 08:39:58,847222,BATSSTK,B159B54C8ACC6E7,,0,0,0.003,BATSSTK,376.33,600,,376.3200073,376.3299866,376.3200073,0.0,376.3200073,376.3299866,400,600,0.0,376.4100037,377.6300049,376.4299927,376.4500122,377.6199951,377.6300049,376.4100037,377.6300049,0.0,0.0,OK,OK,0.0,0.50662,0.0,0.0,376.3315735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-28 08:39:58,234649,7135,0.0,0.0,0.0,376.3099976,376.3299866,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611844798852150800,2021-01-28 08:49:58,850421
7,798715297374455537,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055594579340693510,763530925416648015,1,763530925416648015,798715297374455515,,0,,,,,,,1055594579340693510,0,0,,B159B54C8ACC6EB,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055594579340693510,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B54C8ACC6F0,[fill]: SIM/quote taker,Buy,New,None,2600,376.33,0,0.0,4535,None,Single,600,376.3299866,2021-01-28 08:39:58,847222,NSDQ,NSDQSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,376.3200073,376.3299866,0.0,0.0,0.50665,0.0,376.3315735,0.0,None,0,Long,8658,0,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.11,active.taker,Customer,T.SRDEMO003,,2021-01-28 08:39:58,847222,4449847.8171287,2021-01-28 08:39:58,847222,NSDQSTK,B159B54C8ACC6F0,,0,0,0.003,NSDQSTK,376.33,600,,376.3200073,376.3299866,376.3200073,0.0,376.3200073,376.3299866,400,600,0.0,376.4100037,377.6300049,376.4299927,376.4500122,377.6199951,377.6300049,376.4100037,377.6300049,0.0,0.0,OK,OK,0.0,0.50662,0.0,0.0,376.3315735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-28 08:39:58,234649,7135,0.0,0.0,0.0,376.3099976,376.3299866,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611844798853058100,2021-01-28 08:49:58,850421
8,798715297374455558,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055594579340693510,763530925416648015,1,763530925416648015,798715297374455550,,0,,,,,,,1055594579340693510,0,0,,B159B54C8ACC701,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055594579340693510,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B54C8ACC705,[fill]: SIM/quote taker,Buy,New,None,2900,376.33,0,0.0,4235,None,Single,600,376.3299866,2021-01-28 08:39:58,847222,BATS,BATSSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,376.3200073,376.3299866,0.0,0.0,0.50665,0.0,376.3315735,0.0,None,0,Long,9858,0,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.11,active.taker,Customer,T.SRDEMO003,,2021-01-28 08:39:58,847222,4449847.8217946,2021-01-28 08:39:58,847222,BATSSTK,B159B54C8ACC705,,0,0,0.003,BATSSTK,376.33,300,,376.3200073,376.3299866,376.3200073,0.0,376.3200073,376.3299866,400,300,0.0,376.4100037,377.6300049,376.4299927,376.4500122,377.6199951,377.6300049,376.4100037,377.6300049,0.0,0.0,OK,OK,0.0,0.50662,0.0,0.0,376.3315735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-28 08:39:58,234649,7135,0.0,0.0,0.0,376.3099976,376.3299866,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611844798857723400,2021-01-28 08:49:58,850421
9,798715297374455599,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055594579340693510,763530925416648015,1,763530925416648015,798715297374455585,,0,,,,,,,1055594579340693510,0,0,,B159B54C8ACC727,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055594579340693510,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B54C8ACC72E,[fill]: SIM/quote taker,Buy,New,None,3200,376.33,0,0.0,3935,None,Single,367,376.3299866,2021-01-28 08:39:58,858207,BATS,BATSSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,376.3200073,376.3299866,0.0,0.0,0.50665,0.0,376.3315735,0.0,None,0,Long,10158,0,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.11,active.taker,Customer,T.SRDEMO003,,2021-01-28 08:39:58,858207,4449847.8277458,2021-01-28 08:39:58,858207,BATSSTK,B159B54C8ACC72E,,0,0,0.003,BATSSTK,376.33,300,,376.3200073,376.3299866,376.3200073,0.0,376.3200073,376.3299866,400,300,0.0,376.4100037,377.6300049,376.4299927,376.4500122,377.6199951,377.6300049,376.4100037,377.6300049,0.0,0.0,OK,OK,0.0,0.50662,0.0,0.0,376.3315735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-28 08:39:58,234649,7135,0.0,0.0,0.0,376.3099976,376.3299866,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611844798863676300,2021-01-28 08:49:58,949514
