fillNumber,version,execEngineType,sysEnvironment,runStatus,dataCenter,execStatus,execShape,packageId,parentNumber,parentVersion,baseParentNumber,clOrdId,reviewClOrdId,altFillId,altOrderId,altCrossId,altLegRefId,altAccnt,altUserName,srcRoutingCode,riskGroupId,triggerGroupId,triggerTimestamp,streetClOrdId,streetOrderId,faceSide,faceShape,parentShape,secKey_at,secKey_ts,secKey_tk,secKey_yr,secKey_mn,secKey_dy,secKey_xx,secKey_cp,secType,ticker_at,ticker_ts,ticker_tk,accnt,clientFirm,spdrSource,groupingCode,routingCode,engineName,gatewayName,execRole,execBrokerMPID,execBrokerAccnt,execBrokerClFirm,execUsername,clearingFlipType,clearingFlipFirm,clearingFlipAccnt,clearingFirm,clearingAccnt,origExecID,lastExecID,remoteText,orderSide,spdrOrderStatus,spdrCloseReason,cumFillQuantity,avgFillPrice,cumLegFillQuantity,avgLegFillPrice,leavesQty,priceType,childShape,childSize,childPrice,childDttm,childDttm_us,childExch,childExDest,childExecBroker,childIsDirected,childIsoSweep,childOrderHandling,childAlgoHandler,childCreateReason,childCancelReason,childMakerTaker,childUBid,childUAsk,childBid,childAsk,childMark,childVol,childProb,childLimitRefUPrc,childLimitPrc,childVolAtm,childPosType,childFirmOptPosition,childSSaleFlag,childFirmStkPosition,childFirmOpenOrders,childLocateQuan,childLocateFirm,childLocatePool,childLocateSource,childMktStance,childCxlAttempted,childCxlFillLatency,childMethod,childSource,firmType,priAggGroup,secAggGroup,fillTransactDttm,fillTransactDttm_us,fillTs,fillDttm,fillDttm_us,fillExch,fillExecId,fillExecRefId,fillLegRefId,fillLegRatio,fillExchFee,fillMarket,fillPrice,fillQuantity,fillReportDetail,fillBid,fillAsk,fillMark,fillUMark,fillUBid,fillUAsk,fillUBidSz,fillUAskSz,fillVolAtm,fillMark1M,fillMark10M,fillBid1M,fillAsk1M,fillBid10M,fillAsk10M,fillUMark1M,fillUMark10M,fillVolAtm1M,fillVolAtm10M,fillState1M,fillState10M,fillVol,fillProb,fillLimitRefUPrc,fillLimitRefSDiv,fillLimitPrc,fillVe,fillGa,fillDe,fillTh,fillPr,fillVeRatio,fillBeta,fillRiskMetric1,fillRiskMetric2,fillRiskMetric3,fillRiskMetric4,fillRiskMetric5,fillS08Dn,fillS06Up,fillS15Dn,fillS15Up,fillS50Dn,fillS50Up,fillBrkrRate,fillRoutingRate,riskCode,billingSecType,billingCategory,spdrLiquidityTag,exchLiquidityTag,fillExchDetail,lastCapacity,exchFirmType,extExecBroker,relationshipType,clArriveMark,parentDttm,parentDttm_us,parentOrderSize,parentUBid,parentUAsk,parentUMark,parentBid,parentAsk,parentMark,parentLimitVol,parentLimitPrc,parentLimitRefUPrc,parentTheoVol,parentTheoPrc,parentPosType,parentSSaleFlag,crossID,noticePrc,numMakeExchanges,publicSize,canOverlapCxlRepl,progressRule,exchMaskEnabled,timeInForce,parentOrderHandling,parentBalanceHandling,orderLimitType,orderLimitClass,takeReachRule,overrideCode,alphaType,parentStrategy,userName,autoHedge,hedgeSecKey_at,hedgeSecKey_ts,hedgeSecKey_tk,hedgeSecKey_yr,hedgeSecKey_mn,hedgeSecKey_dy,hedgeSecType,hedgeBetaRatio,hedgeScope,userData1,userData2,years,underliersPerCn,underlierType,tickValue,pointValue,minTickSize,priceFormat,uPriceFormat,liveUPrc,liveMark,srcTimestamp,sgwTimestamp,engTimestamp,timestamp,timestamp_us
784782218558172452,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055531769768939528,1136625940034889922,1,1136625940034889922,784782218558172441,,0,,,,,,,1055531769768939528,1055531769768939528,0,,AE41B451333ED1E,Cust,None,Single,EQT,NMS,SPXW,2021,3,19,3850,Call,Option,EQT,CBOE,SPX,T.SRDEMO003,DEMO,SpdrTicket,1055531769768939528,local.simulator,EE_S7_P_F,,None,$SIM,,,,None,,,,,,AE41B451333ED23,"[fill]: SIM/quote taker",Buy,New,None,1,109.6,0,0,999,None,Single,58,109.6,"2021-01-25 09:09:44",708377,CBOE,CBOEOPT,,Yes,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,3854.8068848,3854.907959,109.2999954,109.5999985,109.4483032,0,0.46538,-1,109.6177139,0.18466,Closing,-1000,None,0,0,0,,,,ExchMrkt,None,0,TAP:0.00,active.taker,Customer,T.SRDEMO003,,"2021-01-25 09:09:44",708377,4192429.1994518,"2021-01-25 09:09:44",708377,CBOEOPT,AE41B451333ED23,,0,0,0.81,CBOEOPT,109.6,1,,109.2999954,109.5999985,109.4483032,3854.8071289,3854.8068848,3854.907959,39,239,0.18466,109.0974503,110.6098175,109,109.2999954,110.5,110.7999954,3854.0820312,3857.190918,0.18481,0.18405,OK,OK,0.18649,0.44321,3854.8574219,0,109.6177139,5.96193,0.00142,0.50827,-1.35642,104.643,0.99741,1.00053,-1,-1,-1,-1,-1,-91.9721,158.553,-108.133,511.654,-109.916,2381.47,0,0,None,EqtOption,Alpha,,R,,None,,$SIM,None,0,"2021-01-25 09:09:42",684371,1000,3854.8081055,3854.907959,3854.8579102,109.3999939,109.6999969,109.4895935,0,0,0,0,0,Auto,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,Both,Static,srdemo003,srdemo003,SpdrAuto,EQT,NMS,SPY,2000,0,0,Stock,1,RiskGroup,AUTODD=1,,0.1512,100,Equity,1,1,0.1,PartNickle,EQT,3854.8071289,109.4483109,0,0,1611587384713921300,"2021-01-25 09:19:44",759553
784782218558172472,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055531769768939528,1136625940034889922,1,1136625940034889922,784782218558172465,,0,,,,,,,1055531769768939528,1055531769768939528,0,,AE41B451333ED33,Cust,None,Single,EQT,NMS,SPXW,2021,3,19,3850,Call,Option,EQT,CBOE,SPX,T.SRDEMO003,DEMO,SpdrTicket,1055531769768939528,local.simulator,EE_S7_P_F,,None,$SIM,,,,None,,,,,,AE41B451333ED37,"[fill]: SIM/quote taker",Buy,New,None,2,109.6,0,0,998,None,Single,42,109.6,"2021-01-25 09:09:44",719388,CBOE,CBOEOPT,,Yes,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,3854.8068848,3854.907959,109.2999954,109.5999985,109.4483032,0,0.46538,-1,109.6177139,0.18466,Closing,-999,None,0,0,0,,,,ExchMrkt,None,0,TAP:0.00,active.taker,Customer,T.SRDEMO003,,"2021-01-25 09:09:44",719388,4192429.2146849,"2021-01-25 09:09:44",719388,CBOEOPT,AE41B451333ED37,,0,0,0.81,CBOEOPT,109.6,1,,109.2999954,109.5999985,109.4483032,3854.8071289,3854.8068848,3854.907959,39,239,0.18466,109.0974503,110.6098175,109,109.2999954,110.5,110.7999954,3854.0820312,3857.190918,0.18481,0.18405,OK,OK,0.18649,0.44321,3854.8574219,0,109.6177139,5.96193,0.00142,0.50827,-1.35642,104.643,0.99741,1.00053,-1,-1,-1,-1,-1,-91.9721,158.553,-108.133,511.654,-109.916,2381.47,0,0,None,EqtOption,Alpha,,R,,None,,$SIM,None,0,"2021-01-25 09:09:42",684371,1000,3854.8081055,3854.907959,3854.8579102,109.3999939,109.6999969,109.4895935,0,0,0,0,0,Auto,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,Both,Static,srdemo003,srdemo003,SpdrAuto,EQT,NMS,SPY,2000,0,0,Stock,1,RiskGroup,AUTODD=1,,0.1512,100,Equity,1,1,0.1,PartNickle,EQT,3854.8071289,109.4483109,0,0,1611587384729150900,"2021-01-25 09:19:44",759553
784782218558172519,1,Core,V7_Stable,Prod,NY4,MktMiss,None,1055531769768939528,1136625940034889922,1,1136625940034889922,784782218558172441,,0,,,,,,,1055531769768939528,1055531769768939528,0,,AE41B451333ED1E,Cust,None,Single,EQT,NMS,SPXW,2021,3,19,3850,Call,Option,EQT,CBOE,SPX,T.SRDEMO003,DEMO,SpdrTicket,1055531769768939528,local.simulator,EE_S7_P_F,,None,$SIM,,,,None,,,,,,,"user cxl",Buy,New,None,2,109.6,0,0,998,None,Single,58,109.6,"2021-01-25 09:09:44",708377,CBOE,CBOEOPT,,None,None,ActiveTaker,ActiveTaker,TakeExch,ChildFlashCxl,Taker,3854.8068848,3854.907959,109.2999954,109.5999985,109.4483032,0,0.46538,-1,109.6177139,0.18466,Closing,-1000,None,0,0,0,,,,ExchMrkt,Yes,0,TAP:0.00,active.taker,Customer,T.SRDEMO003,,"1900-01-01 00:00:00",0,0,"2021-01-25 09:09:44",752421,,,,0,0,0,,109.6,0,,0,0,109.4483032,0,0,0,0,0,0.18466,109.0974503,110.6098175,109,109.2999954,110.5,110.7999954,3854.0820312,3857.190918,0.18481,0.18405,OK,OK,0.18653,0.34846,3854.8076172,0,109.5070343,5.96193,0.00142,0.50827,-1.35642,104.693,0.99741,1.00053,-1,-1,-1,-1,-1,-91.9721,158.553,-108.133,511.654,-109.916,2381.47,0,0,None,EqtOption,Alpha,,,,None,,$SIM,None,0,"2021-01-25 09:09:42",684371,1000,3854.8081055,3854.907959,3854.8579102,109.3999939,109.6999969,109.4895935,0,0,0,0,0,Auto,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,Both,Static,srdemo003,srdemo003,SpdrAuto,EQT,NMS,SPY,2000,0,0,Stock,1,RiskGroup,AUTODD=1,,0.1512,100,Equity,1,1,0.1,PartNickle,EQT,3854.8071289,109.4483109,0,0,1611587384756992000,"2021-01-25 09:19:44",759553
784782218558172526,1,Core,V7_Stable,Prod,NY4,MktMiss,None,1055531769768939528,1136625940034889922,1,1136625940034889922,784782218558172465,,0,,,,,,,1055531769768939528,1055531769768939528,0,,AE41B451333ED33,Cust,None,Single,EQT,NMS,SPXW,2021,3,19,3850,Call,Option,EQT,CBOE,SPX,T.SRDEMO003,DEMO,SpdrTicket,1055531769768939528,local.simulator,EE_S7_P_F,,None,$SIM,,,,None,,,,,,,"user cxl",Buy,New,None,2,109.6,0,0,998,None,Single,42,109.6,"2021-01-25 09:09:44",719388,CBOE,CBOEOPT,,None,None,ActiveTaker,ActiveTaker,TakeExch,ChildFlashCxl,Taker,3854.8068848,3854.907959,109.2999954,109.5999985,109.4483032,0,0.46538,-1,109.6177139,0.18466,Closing,-999,None,0,0,0,,,,ExchMrkt,Yes,0,TAP:0.00,active.taker,Customer,T.SRDEMO003,,"1900-01-01 00:00:00",0,0,"2021-01-25 09:09:44",752421,,,,0,0,0,,109.6,0,,0,0,109.4483032,0,0,0,0,0,0.18466,109.0974503,110.6098175,109,109.2999954,110.5,110.7999954,3854.0820312,3857.190918,0.18481,0.18405,OK,OK,0.18653,0.34846,3854.8076172,0,109.5070343,5.96193,0.00142,0.50827,-1.35642,104.693,0.99741,1.00053,-1,-1,-1,-1,-1,-91.9721,158.553,-108.133,511.654,-109.916,2381.47,0,0,None,EqtOption,Alpha,,,,None,,$SIM,None,0,"2021-01-25 09:09:42",684371,1000,3854.8081055,3854.907959,3854.8579102,109.3999939,109.6999969,109.4895935,0,0,0,0,0,Auto,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,Both,Static,srdemo003,srdemo003,SpdrAuto,EQT,NMS,SPY,2000,0,0,Stock,1,RiskGroup,AUTODD=1,,0.1512,100,Equity,1,1,0.1,PartNickle,EQT,3854.8071289,109.4483109,0,0,1611587384757692400,"2021-01-25 09:19:44",759553
798715229428042535,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055531769768939528,763530857469211635,1,763530857469211635,798715229428042526,,0,,,,,,,1055531769768939528,0,0,,B159B44F6C0CB21,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055531769768939528,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B44F6C0CB26,"[fill]: SIM/quote taker",Sell,New,None,100,384.21,0,0,919,None,Single,200,384.2099915,"2021-01-25 09:09:47",649323,ARCA,ARCASTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0,0,384.2099915,384.2200012,0,0,0.50655,0,384.208252,0,None,0,Long,538658,0,0,,DEMO,,ExchMrkt,None,0,TAP:0.56,active.taker,Customer,T.SRDEMO003,,"2021-01-25 09:09:47",649323,4192439.4335528,"2021-01-25 09:09:47",649323,ARCASTK,B159B44F6C0CB26,,0,0,0.003,ARCASTK,384.21,100,,384.2099915,384.2200012,384.25,0,384.2099915,384.2200012,100,2600,0,384.1499939,384.5700073,384.1300049,384.1499939,384.5700073,384.5799866,384.1499939,384.5700073,0,0,OK,OK,0,0.50659,0,0,384.208252,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,R,,None,,$SIM,None,0,"2021-01-25 09:09:44",963805,1019,0,0,0,384.230011,384.25,0,0,0,0,0,0,None,Auto,0,0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611587387654092000,"2021-01-25 09:19:47",749719
798715229428042548,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055531769768939528,763530857469211635,1,763530857469211635,798715229428042538,,0,,,,,,,1055531769768939528,0,0,,B159B44F6C0CB2F,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055531769768939528,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B44F6C0CB33,"[fill]: SIM/quote taker",Sell,New,None,200,384.21,0,0,819,None,Single,200,384.2099915,"2021-01-25 09:09:47",649323,ARCA,ARCASTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0,0,384.2099915,384.2200012,0,0,0.50655,0,384.208252,0,None,0,Long,538558,100,0,,DEMO,,ExchMrkt,None,0,TAP:0.56,active.taker,Customer,T.SRDEMO003,,"2021-01-25 09:09:47",649323,4192439.4393683,"2021-01-25 09:09:47",649323,ARCASTK,B159B44F6C0CB33,,0,0,0.003,ARCASTK,384.21,100,,384.2099915,384.2200012,384.25,0,384.2099915,384.2200012,100,2600,0,384.1499939,384.5700073,384.1300049,384.1499939,384.5700073,384.5799866,384.1499939,384.5700073,0,0,OK,OK,0,0.50659,0,0,384.208252,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,R,,None,,$SIM,None,0,"2021-01-25 09:09:44",963805,1019,0,0,0,384.230011,384.25,0,0,0,0,0,0,None,Auto,0,0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611587387659916100,"2021-01-25 09:19:47",749719
798715229428042695,1,Core,V7_Stable,Prod,NY4,MktMiss,None,1055531769768939528,763530857469211635,1,763530857469211635,798715229428042538,,0,,,,,,,1055531769768939528,0,0,,B159B44F6C0CB2F,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055531769768939528,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,,"user cxl",Sell,New,None,200,384.21,0,0,819,None,Single,200,384.2099915,"2021-01-25 09:09:47",649323,ARCA,ARCASTK,,None,None,ActiveTaker,ActiveTaker,TakeExch,ChildFlashCxl,Taker,0,0,384.2099915,384.2200012,0,0,0.50655,0,384.208252,0,None,0,Long,538558,100,0,,DEMO,,ExchMrkt,Yes,0,TAP:0.56,active.taker,Customer,T.SRDEMO003,,"1900-01-01 00:00:00",0,0,"2021-01-25 09:09:47",772441,,,,0,0,0,,384.2099915,0,,0,0,384.2099915,0,0,0,0,0,0,384.1499939,384.5700073,384.1300049,384.1499939,384.5700073,384.5799866,384.1499939,384.5700073,0,0,OK,OK,0,0.49527,0,0,384.2110901,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,,,None,,$SIM,None,0,"2021-01-25 09:09:44",963805,1019,0,0,0,384.230011,384.25,0,0,0,0,0,0,None,Auto,0,0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611587387773259800,"2021-01-25 09:19:47",848812
798715229428042698,1,Core,V7_Stable,Prod,NY4,MktMiss,None,1055531769768939528,763530857469211635,1,763530857469211635,798715229428042526,,0,,,,,,,1055531769768939528,0,0,,B159B44F6C0CB21,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055531769768939528,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,,"user cxl",Sell,New,None,200,384.21,0,0,819,None,Single,200,384.2099915,"2021-01-25 09:09:47",649323,ARCA,ARCASTK,,None,None,ActiveTaker,ActiveTaker,TakeExch,ChildFlashCxl,Taker,0,0,384.2099915,384.2200012,0,0,0.50655,0,384.208252,0,None,0,Long,538658,0,0,,DEMO,,ExchMrkt,Yes,0,TAP:0.56,active.taker,Customer,T.SRDEMO003,,"1900-01-01 00:00:00",0,0,"2021-01-25 09:09:47",772441,,,,0,0,0,,384.2099915,0,,0,0,384.2099915,0,0,0,0,0,0,384.1499939,384.5700073,384.1300049,384.1499939,384.5700073,384.5799866,384.1499939,384.5700073,0,0,OK,OK,0,0.48347,0,0,384.2138367,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,,,None,,$SIM,None,0,"2021-01-25 09:09:44",963805,1019,0,0,0,384.230011,384.25,0,0,0,0,0,0,None,Auto,0,0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611587387773802000,"2021-01-25 09:19:47",848812
798715229428045187,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055531769768939528,763530857469211635,1,763530857469211635,798715229428045179,,0,,,,,,,1055531769768939528,0,0,,B159B44F6C0D57D,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055531769768939528,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B44F6C0D582,"[fill]: SIM/impr: 33% [B 100 @ 384.2250/FNRA/1]",Sell,New,None,233,384.21,0,0,786,None,Single,819,384.21,"2021-01-25 09:09:50",852497,MPRL,MPRLSTK,,No,None,PostLimit,ActiveMaker,MakePostLimit,None,Maker,0,0,384.2000122,384.2200012,0,0,0.49422,0,384.2101746,0,None,0,Long,538458,0,0,,DEMO,,NbboImpr,None,0,maker,post/new/lm,Customer,T.SRDEMO003,,"2021-01-25 09:09:50",852497,4192442.6375319,"2021-01-25 09:09:50",852497,MPRLSTK,B159B44F6C0D582,,0,0,-0.0028,MPRLSTK,384.21,33,,384.2000122,384.2200012,384.2250061,0,384.2000122,384.2200012,4600,2300,0,384.1199951,384.5570068,384.1099854,384.1300049,384.5400085,384.5599976,384.1199951,384.5570068,0,0,OK,OK,0,0.49422,0,0,384.2101746,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,A,,None,,$SIM,None,0,"2021-01-25 09:09:44",963805,1019,0,0,0,384.230011,384.25,0,0,0,0,0,0,None,Auto,0,0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611587390858172900,"2021-01-25 09:19:50",947845
798715229428045192,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055531769768939528,763530857469211635,1,763530857469211635,798715229428045179,,0,,,,,,,1055531769768939528,0,0,,B159B44F6C0D57D,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055531769768939528,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B44F6C0D587,"[fill]: SIM/impr: 33% [B 100 @ 384.2250/FNRA/1]",Sell,New,None,266,384.21,0,0,753,None,Single,819,384.21,"2021-01-25 09:09:50",852497,MPRL,MPRLSTK,,No,None,PostLimit,ActiveMaker,MakePostLimit,None,Maker,0,0,384.2000122,384.2200012,0,0,0.49422,0,384.2101746,0,None,0,Long,538458,0,0,,DEMO,,NbboImpr,None,0,maker,post/new/lm,Customer,T.SRDEMO003,,"2021-01-25 09:09:50",852497,4192442.6379455,"2021-01-25 09:09:50",852497,MPRLSTK,B159B44F6C0D587,,0,0,-0.0028,MPRLSTK,384.21,33,,384.2000122,384.2200012,384.2250061,0,384.2000122,384.2200012,4600,2300,0,384.1199951,384.5570068,384.1099854,384.1300049,384.5400085,384.5599976,384.1199951,384.5570068,0,0,OK,OK,0,0.49422,0,0,384.2101746,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,A,,None,,$SIM,None,0,"2021-01-25 09:09:44",963805,1019,0,0,0,384.230011,384.25,0,0,0,0,0,0,None,Auto,0,0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611587390858600300,"2021-01-25 09:19:50",947845
