,fillNumber,version,execEngineType,sysEnvironment,runStatus,dataCenter,execStatus,execShape,packageId,parentNumber,parentVersion,baseParentNumber,clOrdId,reviewClOrdId,altFillId,altOrderId,altCrossId,altLegRefId,altAccnt,altUserName,srcRoutingCode,riskGroupId,triggerGroupId,triggerTimestamp,streetClOrdId,streetOrderId,faceSide,faceShape,parentShape,secKey_at,secKey_ts,secKey_tk,secKey_yr,secKey_mn,secKey_dy,secKey_xx,secKey_cp,secType,ticker_at,ticker_ts,ticker_tk,accnt,clientFirm,spdrSource,groupingCode,routingCode,engineName,gatewayName,execRole,execBrokerMPID,execBrokerAccnt,execBrokerClFirm,execUsername,clearingFlipType,clearingFlipFirm,clearingFlipAccnt,clearingFirm,clearingAccnt,origExecID,lastExecID,remoteText,orderSide,spdrOrderStatus,spdrCloseReason,cumFillQuantity,avgFillPrice,cumLegFillQuantity,avgLegFillPrice,leavesQty,priceType,childShape,childSize,childPrice,childDttm,childDttm_us,childExch,childExDest,childExecBroker,childIsDirected,childIsoSweep,childOrderHandling,childAlgoHandler,childCreateReason,childCancelReason,childMakerTaker,childUBid,childUAsk,childBid,childAsk,childMark,childVol,childProb,childLimitRefUPrc,childLimitPrc,childVolAtm,childPosType,childFirmOptPosition,childSSaleFlag,childFirmStkPosition,childFirmOpenOrders,childLocateQuan,childLocateFirm,childLocatePool,childLocateSource,childMktStance,childCxlAttempted,childCxlFillLatency,childMethod,childSource,firmType,priAggGroup,secAggGroup,fillTransactDttm,fillTransactDttm_us,fillTs,fillDttm,fillDttm_us,fillExch,fillExecId,fillExecRefId,fillLegRefId,fillLegRatio,fillExchFee,fillMarket,fillPrice,fillQuantity,fillReportDetail,fillBid,fillAsk,fillMark,fillUMark,fillUBid,fillUAsk,fillUBidSz,fillUAskSz,fillVolAtm,fillMark1M,fillMark10M,fillBid1M,fillAsk1M,fillBid10M,fillAsk10M,fillUMark1M,fillUMark10M,fillVolAtm1M,fillVolAtm10M,fillState1M,fillState10M,fillVol,fillProb,fillLimitRefUPrc,fillLimitRefSDiv,fillLimitPrc,fillVe,fillGa,fillDe,fillTh,fillPr,fillVeRatio,fillBeta,fillRiskMetric1,fillRiskMetric2,fillRiskMetric3,fillRiskMetric4,fillRiskMetric5,fillS08Dn,fillS06Up,fillS15Dn,fillS15Up,fillS50Dn,fillS50Up,fillBrkrRate,fillRoutingRate,riskCode,billingSecType,billingCategory,spdrLiquidityTag,exchLiquidityTag,fillExchDetail,lastCapacity,exchFirmType,extExecBroker,relationshipType,clArriveMark,parentDttm,parentDttm_us,parentOrderSize,parentUBid,parentUAsk,parentUMark,parentBid,parentAsk,parentMark,parentLimitVol,parentLimitPrc,parentLimitRefUPrc,parentTheoVol,parentTheoPrc,parentPosType,parentSSaleFlag,crossID,noticePrc,numMakeExchanges,publicSize,canOverlapCxlRepl,progressRule,exchMaskEnabled,timeInForce,parentOrderHandling,parentBalanceHandling,orderLimitType,orderLimitClass,takeReachRule,overrideCode,alphaType,parentStrategy,userName,autoHedge,hedgeSecKey_at,hedgeSecKey_ts,hedgeSecKey_tk,hedgeSecKey_yr,hedgeSecKey_mn,hedgeSecKey_dy,hedgeSecType,hedgeBetaRatio,hedgeScope,userData1,userData2,years,underliersPerCn,underlierType,tickValue,pointValue,minTickSize,priceFormat,uPriceFormat,liveUPrc,liveMark,srcTimestamp,sgwTimestamp,engTimestamp,timestamp,timestamp_us
0,784782241219740365,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055561182039969800,1130363144452495792,1,1130363144452495792,784782241219740357,,0,,,,,,,1055561182039969800,1055561182039969800,0,,AE41B4A59F002C7,Cust,None,Single,EQT,NMS,SPX,2021,3,19,3860.0,Call,Option,EQT,CBOE,SPX,T.SRDEMO003,DEMO,SpdrTicket,1055561182039969800,local.simulator,EE_S7_P_F,,None,$SIM,,,,None,,,,,,AE41B4A59F002CC,[fill]: SIM/quote taker,Buy,New,None,50,100.2,0,0.0,450,None,Single,50,100.1999969,2021-01-26 10:55:01,858210,CBOE,CBOEOPT,,Yes,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,3848.5339355,3848.6340332,99.5999985,100.1999969,99.931633,0.0,0.33795,-1.0,100.2051468,0.1895,Opening,0,None,0,0,0,,,,ExchMrkt,None,0.0,TAP:0.20,active.taker,Customer,T.SRDEMO003,,2021-01-26 10:55:01,858210,4285145.3447126,2021-01-26 10:55:01,858210,CBOEOPT,AE41B4A59F002CC,,0,0,0.81,CBOEOPT,100.2,50,,99.5999985,100.1999969,99.931633,3848.5339355,3848.5339355,3848.6340332,239,19,0.1895,100.4139862,100.9166946,100.0999985,100.6999969,100.6999969,101.4000015,3849.6296387,3851.4099121,0.18953,0.18864,OK,OK,0.18795,0.32209,3848.5839844,0.0,100.2051468,5.8105,0.00145,0.48495,-1.40506,99.9,0.99722,1.00053,-1.0,-1.0,-1.0,-1.0,-1.0,-84.9592,153.786,-98.5744,504.308,-99.8979,2371.01,0.0,0.0,None,EqtOption,Alpha,,R,,None,,$SIM,None,0.0,2021-01-26 10:53:50,142820,500,3848.3369141,3848.5380859,3848.4375,99.4000015,99.9000015,99.7097931,0.0,0.0,0.0,0.0,0.0,Auto,Auto,0,0.0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,Both,Static,srdemo003,srdemo003,SpdrAuto,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,AUTODD=1,,0.14413,100,Equity,1.0,1.0,0.1,PartNickle,EQT,3848.5339355,99.931633,0,0,1611680101864900500,2021-01-26 11:05:01,867363
1,798715252079986046,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055561182039969800,763530880118212701,1,763530880118212701,798715252079986023,,0,,,,,,,1055561182039969800,0,0,,B159B4A3CEA057A,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055561182039969800,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B4A3CEA057D,[fill]: SIM/quote taker,Sell,New,None,725,383.63,0,0.0,23598,None,Single,725,383.6300049,2021-01-26 10:55:05,173021,BATS,BATSSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,383.6300049,383.6400146,0.0,0.0,0.49777,0.0,383.6291199,0.0,None,0,Long,47638,0,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.68,active.taker,Customer,T.SRDEMO003,,2021-01-26 10:55:05,173021,4285155.9423728,2021-01-26 10:55:05,173021,BATSSTK,B159B4A3CEA057D,,0,0,0.003,BATSSTK,383.63,725,,383.6300049,383.6400146,383.6400146,0.0,383.6300049,383.6400146,1400,200,0.0,383.8500061,383.9349976,383.8399963,383.8599854,383.9500122,383.9599915,383.8500061,383.9349976,0.0,0.0,OK,OK,0.0,0.49776,0.0,0.0,383.6291199,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-26 10:55:02,107067,24323,0.0,0.0,0.0,383.6499939,383.6600037,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611680105175637300,2021-01-26 11:05:05,269371
2,798715252079986052,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055561182039969800,763530880118212701,1,763530880118212701,798715252079986027,,0,,,,,,,1055561182039969800,0,0,,B159B4A3CEA0580,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055561182039969800,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B4A3CEA0583,[fill]: SIM/quote taker,Sell,New,None,1450,383.63,0,0.0,22873,None,Single,725,383.6300049,2021-01-26 10:55:05,173021,NSDQ,NSDQSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,383.6300049,383.6400146,0.0,0.0,0.49777,0.0,383.6291199,0.0,None,0,Long,47638,725,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.68,active.taker,Customer,T.SRDEMO003,,2021-01-26 10:55:05,173021,4285155.942839,2021-01-26 10:55:05,173021,NSDQSTK,B159B4A3CEA0583,,0,0,0.003,NSDQSTK,383.63,725,,383.6300049,383.6400146,383.6400146,0.0,383.6300049,383.6400146,1400,200,0.0,383.8500061,383.9349976,383.8399963,383.8599854,383.9500122,383.9599915,383.8500061,383.9349976,0.0,0.0,OK,OK,0.0,0.49776,0.0,0.0,383.6291199,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-26 10:55:02,107067,24323,0.0,0.0,0.0,383.6499939,383.6600037,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611680105176107900,2021-01-26 11:05:05,269371
3,798715252079986058,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055561182039969800,763530880118212701,1,763530880118212701,798715252079986031,,0,,,,,,,1055561182039969800,0,0,,B159B4A3CEA0586,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055561182039969800,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B4A3CEA0589,[fill]: SIM/quote taker,Sell,New,None,2075,383.63,0,0.0,22248,None,Single,625,383.6300049,2021-01-26 10:55:05,173021,EDGX,EDGXSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,383.6300049,383.6400146,0.0,0.0,0.49777,0.0,383.6291199,0.0,None,0,Long,47638,1450,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.68,active.taker,Customer,T.SRDEMO003,,2021-01-26 10:55:05,173021,4285155.9431867,2021-01-26 10:55:05,173021,EDGXSTK,B159B4A3CEA0589,,0,0,0.0027,EDGXSTK,383.63,625,,383.6300049,383.6400146,383.6400146,0.0,383.6300049,383.6400146,1400,200,0.0,383.8500061,383.9349976,383.8399963,383.8599854,383.9500122,383.9599915,383.8500061,383.9349976,0.0,0.0,OK,OK,0.0,0.51385,0.0,0.0,383.6300049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-26 10:55:02,107067,24323,0.0,0.0,0.0,383.6499939,383.6600037,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611680105176458300,2021-01-26 11:05:05,269371
4,798715252079986064,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055561182039969800,763530880118212701,1,763530880118212701,798715252079986035,,0,,,,,,,1055561182039969800,0,0,,B159B4A3CEA058C,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055561182039969800,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B4A3CEA058F,[fill]: SIM/quote taker,Sell,New,None,2600,383.63,0,0.0,21723,None,Single,525,383.6300049,2021-01-26 10:55:05,173021,ARCA,ARCASTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,383.6300049,383.6400146,0.0,0.0,0.49777,0.0,383.6291199,0.0,None,0,Long,47638,2075,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.68,active.taker,Customer,T.SRDEMO003,,2021-01-26 10:55:05,173021,4285155.94355,2021-01-26 10:55:05,173021,ARCASTK,B159B4A3CEA058F,,0,0,0.003,ARCASTK,383.63,525,,383.6300049,383.6400146,383.6400146,0.0,383.6300049,383.6400146,1400,200,0.0,383.8500061,383.9349976,383.8399963,383.8599854,383.9500122,383.9599915,383.8500061,383.9349976,0.0,0.0,OK,OK,0.0,0.51385,0.0,0.0,383.6300049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-26 10:55:02,107067,24323,0.0,0.0,0.0,383.6499939,383.6600037,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611680105176820700,2021-01-26 11:05:05,269371
5,798715252079986359,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055561182039969800,763530880118212701,1,763530880118212701,798715252079986322,,0,,,,,,,1055561182039969800,0,0,,B159B4A3CEA06B2,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055561182039969800,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B4A3CEA06B6,[fill]: SIM/quote taker,Sell,New,None,3000,383.63,0,0.0,21323,None,Single,800,383.6300049,2021-01-26 10:55:05,283127,NSDQ,NSDQSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,383.6300049,383.6499939,0.0,0.0,0.54791,0.0,383.6300049,0.0,None,0,Long,45038,4700,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.68,active.taker,Customer,T.SRDEMO003,,2021-01-26 10:55:05,283127,4285156.0528064,2021-01-26 10:55:05,283127,NSDQSTK,B159B4A3CEA06B6,,0,0,0.003,NSDQSTK,383.63,400,,383.6300049,383.6400146,383.6400146,0.0,383.6300049,383.6400146,400,1200,0.0,383.8500061,383.9349976,383.8299866,383.8500061,383.9500122,383.9599915,383.8500061,383.9349976,0.0,0.0,OK,OK,0.0,0.48843,0.0,0.0,383.631134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-26 10:55:02,107067,24323,0.0,0.0,0.0,383.6499939,383.6600037,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611680105286035300,2021-01-26 11:05:05,367466
6,798715252079986366,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055561182039969800,763530880118212701,1,763530880118212701,798715252079986328,,0,,,,,,,1055561182039969800,0,0,,B159B4A3CEA06B9,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055561182039969800,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B4A3CEA06BD,[fill]: SIM/quote taker,Sell,New,None,3400,383.63,0,0.0,20923,None,Single,600,383.6300049,2021-01-26 10:55:05,283127,EDGX,EDGXSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,383.6300049,383.6499939,0.0,0.0,0.54791,0.0,383.6300049,0.0,None,0,Long,45038,5500,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.68,active.taker,Customer,T.SRDEMO003,,2021-01-26 10:55:05,283127,4285156.053382,2021-01-26 10:55:05,283127,EDGXSTK,B159B4A3CEA06BD,,0,0,0.0027,EDGXSTK,383.63,400,,383.6300049,383.6400146,383.6400146,0.0,383.6300049,383.6400146,400,1200,0.0,383.8500061,383.9349976,383.8299866,383.8500061,383.9500122,383.9599915,383.8500061,383.9349976,0.0,0.0,OK,OK,0.0,0.48843,0.0,0.0,383.631134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-26 10:55:02,107067,24323,0.0,0.0,0.0,383.6499939,383.6600037,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611680105286644700,2021-01-26 11:05:05,367466
7,798715252079986372,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055561182039969800,763530880118212701,1,763530880118212701,798715252079986333,,0,,,,,,,1055561182039969800,0,0,,B159B4A3CEA06C0,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055561182039969800,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B4A3CEA06C3,[fill]: SIM/quote taker,Sell,New,None,3800,383.63,0,0.0,20523,None,Single,600,383.6300049,2021-01-26 10:55:05,283127,BATS,BATSSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,383.6300049,383.6499939,0.0,0.0,0.48846,0.0,383.631134,0.0,None,0,Long,45038,6100,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.68,active.taker,Customer,T.SRDEMO003,,2021-01-26 10:55:05,283127,4285156.0538829,2021-01-26 10:55:05,283127,BATSSTK,B159B4A3CEA06C3,,0,0,0.003,BATSSTK,383.63,400,,383.6300049,383.6400146,383.6400146,0.0,383.6300049,383.6400146,400,1200,0.0,383.8500061,383.9349976,383.8299866,383.8500061,383.9500122,383.9599915,383.8500061,383.9349976,0.0,0.0,OK,OK,0.0,0.48843,0.0,0.0,383.631134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-26 10:55:02,107067,24323,0.0,0.0,0.0,383.6499939,383.6600037,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611680105287146000,2021-01-26 11:05:05,367466
8,798715252079986379,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055561182039969800,763530880118212701,1,763530880118212701,798715252079986338,,0,,,,,,,1055561182039969800,0,0,,B159B4A3CEA06C7,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055561182039969800,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B4A3CEA06CA,[fill]: SIM/quote taker,Sell,New,None,4200,383.63,0,0.0,20123,None,Single,600,383.6300049,2021-01-26 10:55:05,283127,PSX,PSXSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,383.6300049,383.6400146,0.0,0.0,0.48846,0.0,383.631134,0.0,None,0,Long,45038,6700,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.68,active.taker,Customer,T.SRDEMO003,,2021-01-26 10:55:05,283127,4285156.0543566,2021-01-26 10:55:05,283127,PSXSTK,B159B4A3CEA06CA,,0,0,0.003,PSXSTK,383.63,400,,383.6300049,383.6400146,383.6400146,0.0,383.6300049,383.6400146,400,1200,0.0,383.8500061,383.9349976,383.8299866,383.8500061,383.9500122,383.9599915,383.8500061,383.9349976,0.0,0.0,OK,OK,0.0,0.48843,0.0,0.0,383.631134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-26 10:55:02,107067,24323,0.0,0.0,0.0,383.6499939,383.6600037,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611680105287617900,2021-01-26 11:05:05,367466
9,798715252079986386,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055561182039969800,763530880118212701,1,763530880118212701,798715252079986343,,0,,,,,,,1055561182039969800,0,0,,B159B4A3CEA06CD,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,AutoHedgeSrvr,1055561182039969800,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B4A3CEA06D1,[fill]: SIM/quote taker,Sell,New,None,4600,383.63,0,0.0,19723,None,Single,500,383.6300049,2021-01-26 10:55:05,283127,ARCA,ARCASTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0.0,0.0,383.6300049,383.6400146,0.0,0.0,0.48846,0.0,383.631134,0.0,None,0,Long,45038,7300,0,,DEMO,,ExchMrkt,None,0.0,TAP:0.68,active.taker,Customer,T.SRDEMO003,,2021-01-26 10:55:05,283127,4285156.0548748,2021-01-26 10:55:05,283127,ARCASTK,B159B4A3CEA06D1,,0,0,0.003,ARCASTK,383.63,400,,383.6300049,383.6400146,383.6400146,0.0,383.6300049,383.6400146,400,1200,0.0,383.8500061,383.9349976,383.8299866,383.8500061,383.9500122,383.9599915,383.8500061,383.9349976,0.0,0.0,OK,OK,0.0,0.48843,0.0,0.0,383.631134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,Equity,Alpha,,R,,None,,$SIM,None,0.0,2021-01-26 10:55:02,107067,24323,0.0,0.0,0.0,383.6499939,383.6600037,0.0,0.0,0.0,0.0,0.0,0.0,None,Auto,0,0.0,1,MktSize,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0.0,None,,,0.0,1,Equity,1.0,1.0,0.01,EQT,None,0.0,0.0,0,0,1611680105288126400,2021-01-26 11:05:05,367466
