,Maker,Taker,Total,Desc
Order,,,,Buy 1000 SPX 20210521 4075 Put 
Arrival Mid,     79.00,      0.00,     79.00,Mid at first available time
Arrival Mark,     79.06,      0.00,     79.06,SR Mark at first available time
Arrival U Mid,   4080.21,      0.00,   4080.21,Mid of underlying at first available time
Arrival Mid Vol,    13.72%,     0.00%,    13.72%,Implied volatility of Arrival Mid at Arrival U Mid
Arrival Mark Vol,    13.73%,     0.00%,    13.73%,Implied volatility of Arrival Mark at Arrival U Mid
Delta,      -49%,        0%,      -49%,Option Contract Delta
Vega,      5.72,      0.00,      5.72,Option Contract Vega
Child Orders,        14,         0,        14,Number of child orders which had fills
Avg Child Size,       105,         0,       105,Avg size of child orders which had fills
Filled Ctr,"     1,000",         0,"     1,000",Total number of contracts filled
Ctr Fill Rate,       68%,        0%,       68%,Filled Contracts divided by total size sent by child orders which had fills
Avg Fill Pct Spread,   104.32%,     0.00%,   104.32%,0% means fill is on bid at fill time; 100% means offer
Exec Px,     79.23,      0.00,     79.23,Average filled price
Px Range,      0.32,      0.00,      0.32,High minus low fill price
Slip Arr Mid Px,     -0.23,      0.00,     -0.23,Amount by which Exec Px was more favorable than mid at order creation
Slip Arr Mid USD,"   -22,830",         0,"   -22,830",Above  * contracts filled * contract multiplier
Slip Arr Mark Px,     -0.17,      0.00,     -0.17,Amount by which Exec Px was more favorable than SR mark at order creation
Slip Arr Mark USD,"   -17,321",         0,"   -17,321",Above  * contracts filled * contract multiplier
Theo U Mid,   4080.32,      0.00,   4080.32,Average underlying price if hedging mid-market each fill time
Exec DTheo Arr Mid Px,     79.28,      0.00,     79.28,Exec Px delta-adjusted from Theo U Mid to Arrival Mid
DTheo Px Range,      0.10,      0.00,      0.10,High minus low delta-adjusted fill price
DTheo Slip Arr Mid Px,     -0.28,      0.00,     -0.28,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mid
DTheo Slip Arr Mid USD,"   -28,100",         0,"   -28,100",Above  * contracts filled * contract multiplier
DTheo Slip Arr Mark Px,     -0.23,      0.00,     -0.23,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mark
DTheo Slip Arr Mark USD,"   -22,590",         0,"   -22,590",Above  * contracts filled * contract multiplier
Exec DTheo Vol,    13.77%,     0.00%,    13.77%,Implied volatility of Exec DTheo Arr Mid Px at Arrival Mid
DTheo Vol Range,     0.02%,     0.00%,     0.02%,High minus low vol
DTheo Slip Arr Mid Vol,    -0.05%,     0.00%,    -0.05%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DTheo Slip Arr Mark Vol,    -0.04%,     0.00%,    -0.04%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
