,Maker,Taker,Total,Desc
Child Orders,         0,       303,       303,Number of child orders which had fills
Avg Child Size,         0,        20,        20,Avg size of child orders which had fills
Filled Contracts,         0,"     1,000","     1,000",Total number of contracts filled
Contract Fill Rate,        0%,       17%,       17%,Filled Contracts divided by total size sent by child orders which had fills
Fill Pct Spread,     0.00%,   100.00%,   100.00%,Quantity-weighted average of fill price in spread units at time of fill: 0 = on bid; 1 = on offer
Arrival Mid,      0.00,    109.55,    109.55,Mid at order creation
Arrival Mark,      0.00,    109.49,    109.49,SR Mark at order creation
Arrival U/L Mid,      0.00,   3854.86,   3854.86,Mid of underlying at order creation
Exec Px,      0.00,    105.51,    105.51,Average filled price
Px Range,      0.00,     14.50,     14.50,High minus low fill price
Arr Slip Mid Px,      0.00,      4.04,      4.04,Amount by which Exec Px was more favorable than mid at order creation
Arr Slip Mid USD,         0,"   404,030","   404,030",Above field * contracts filled * contract multiplier
Arr Slip Mark Px,      0.00,      3.98,      3.98,Amount by which Exec Px was more favorable than SR mark at order creation
Arr Slip Mark USD,         0,"   397,989","   397,989",Above field * contracts filled * contract multiplier
QWAP Px,      0.00,    105.86,    105.86,SR-calculated QWAP
QWAP U/L Px,      0.00,   3841.25,   3841.25,SR-calculated QWAP for underlying price
Slip to QWAP Px,      0.00,      0.35,      0.35,Amount by which Exec Px was more favorable than the above price
Slip to QWAP USD,         0,"    35,030","    35,030",Above field * contracts filled * contract multiplier
Exec DAdj Theo Arr Px,      0.00,    112.73,    112.73,Average of option fills delta-adjusted from fill-time mid back to arrival mid price
DAdj Theo Arr Px Range,      0.00,      5.14,      5.14,High minus low delta-adjusted fill price
Theo U/L Px,      0.00,   3840.64,   3840.64,The weighted average mid of underlying at fill times
Arr Slip Mid DAdj Theo Px,      0.00,     -3.18,     -3.18,Amount by which Exec DAdj Theo Px was more favorable than mid at order creation
Arr Slip Mid DAdj Theo USD,         0,"  -318,459","  -318,459",Above field * contracts filled * contract multiplier
Arr Slip Mark DAdj Theo Px,      0.00,     -3.24,     -3.24,Amount by which Exec DAdj Theo Px was more favorable than SR mark at order creation
Arr Slip Mark DAdj Theo USD,         0,"  -324,499","  -324,499",Above field * contracts filled * contract multiplier
Exec DAdj Theo QWAP Px,      0.00,    105.82,    105.82,Average of option fills delta-adjusted from fill-time mid back to QWAP u/l price
Slip to Exec DAdj Theo QWAP Px,      0.00,      0.04,      0.04,Amount by which Exec DAdj Theo QWAP Px was more favorable than the above price
Slip to Exec DAdj Theo QWAP USD,         0,"     4,197","     4,197",Above field * contracts filled * contract multiplier
Exec Theo Vol,     0.00%,    19.17%,    19.17%,Implied volatility of Exec DAdj Theo Px at arrival mid price
Vol Range,     0.00%,     0.86%,     0.86%,"All vol fields below correspond to the DAdj fields above, but expressed in vols"
Arr Slip Mid Theo Vol,     0.00%,    -0.53%,    -0.53%,
Arr Slip Mark Theo Vol,     0.00%,    -0.54%,    -0.54%,
QWAP Vol,     0.00%,    19.18%,    19.18%,
Theo Slip to QWAP Vol,     0.00%,     0.01%,     0.01%,
Exec DAdj Act Arr Px,      0.00,    112.37,    112.37,Average of option fills delta-adjusted using actual hedge fills back to arrival mid price
Act U/L Px,      0.00,   3841.36,   3841.36,Weighted average actual hedge price
Arr Slip Mid DAdj Act Px,      0.00,     -2.82,     -2.82,Amount by which Exec DAdj Act Px was more favorable than mid at order creation
Arr Slip Mid DAdj Act USD,         0,"  -281,825","  -281,825",Above field * contracts filled * contract multiplier
Arr Slip Mark DAdj Act Px,      0.00,     -2.88,     -2.88,Amount by which Exec DAdj Act Px was more favorable than SR mark at order creation
Arr Slip Mark DAdj Act USD,         0,"  -287,866","  -287,866",Above field * contracts filled * contract multiplier
Exec DAdj Act QWAP Px,      0.00,    105.45,    105.45,Average of option fills delta-adjusted from fill-time mid back to QWAP u/l price
Slip to Exec DAdj Act QWAP Px,      0.00,      0.41,      0.41,Amount by which Exec DAdj Act QWAP Px was more favorable than the above price
Slip to Exec DAdj Act QWAP USD,         0,"    40,831","    40,831",Above field * contracts filled * contract multiplier
Exec Act Vol,     0.00%,    19.11%,    19.11%,Implied volatility of Exec DAdj Act Px at arrival mid price
Arr Slip Mid Act Vol,     0.00%,    -0.47%,    -0.47%,
Arr Slip Mark Act Vol,     0.00%,    -0.48%,    -0.48%,
Act Slip to QWAP Vol,     0.00%,     0.07%,     0.07%,
