,Maker,Taker,Total,Desc
Arrival Mid,      0.00,      2.62,      2.62,Mid at order creation
Arrival Mark,      0.00,      2.62,      2.62,SR Mark at order creation
Arrival U Mid,      0.00,     62.19,     62.19,Mid of underlying at order creation
Arrival Mid Vol,     0.00%,    30.85%,    30.85%,Implied volatility of Arrival Mid at Arrival U Mid
Arrival Mark Vol,     0.00%,    30.88%,    30.88%,Implied volatility of Arrival Mark at Arrival U Mid
Qwap,      0.00,      2.62,      2.62,SR-calculated Qwap (or Vwap for a stock only order)
Qwap U,      0.00,     62.19,     62.19,SR-calculated Qwap for underlying price
Qwap Vol,     0.00%,    30.94%,    30.94%,Implied volatility of Qwap at Qwap U
Delta,        0%,       51%,       51%,Option Contract Delta
Vega,      0.00,      0.09,      0.09,Option Contract Vega
Child Orders,         0,       725,       725,Number of child orders which had fills
Avg Child Size,         0,         1,         1,Avg size of child orders which had fills
Filled Ctr,         0,       725,       725,Total number of contracts filled
Ctr Fill Rate,        0%,      100%,      100%,Filled Contracts divided by total size sent by child orders which had fills
Avg Fill Pct Spread,     0.00%,   100.00%,   100.00%,0% means fill is on bid at fill time; 100% means offer
Exec Px,      0.00,      2.70,      2.70,Average filled price
Px Range,      0.00,      0.00,      0.00,High minus low fill price
Slip Arr Mid Px,      0.00,     -0.08,     -0.08,Amount by which Exec Px was more favorable than mid at order creation
Slip Arr Mid USD,         0,"    -5,800","    -5,800",Above  * contracts filled * contract multiplier
Slip Arr Mark Px,      0.00,     -0.08,     -0.08,Amount by which Exec Px was more favorable than SR mark at order creation
Slip Arr Mark USD,         0,"    -5,609","    -5,609",Above  * contracts filled * contract multiplier
Slip Qwap Px,      0.00,     -0.08,     -0.08,Amount by which Exec Px was more favorable than Qwap
Slip Qwap USD,         0,"    -5,517","    -5,517",Above  * contracts filled * contract multiplier
Theo U Mid,      0.00,     62.25,     62.25,Average underlying price if hedging mid-market each fill time
Exec DTheo Arr Mid Px,      0.00,      2.67,      2.67,Exec Px delta-adjusted from Theo U Mid to Arrival Mid
DTheo Px Range,      0.00,      0.01,      0.01,High minus low delta-adjusted fill price
DTheo Slip Arr Mid Px,      0.00,     -0.05,     -0.05,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mid
DTheo Slip Arr Mid USD,         0,"    -3,749","    -3,749",Above  * contracts filled * contract multiplier
DTheo Slip Arr Mark Px,      0.00,     -0.05,     -0.05,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mark
DTheo Slip Arr Mark USD,         0,"    -3,558","    -3,558",Above  * contracts filled * contract multiplier
Exec DTheo Qwap Px,      0.00,      2.67,      2.67,Exec Px delta-adjusted from Theo U Mid to Qwap U
DTheo Slip Qwap Px,      0.00,     -0.04,     -0.04,Amount by which Exec DTheo Qwap Px was more favorable than Qwap
DTheo Slip Qwap USD,         0,"    -3,187","    -3,187",Above  * contracts filled * contract multiplier
Exec DTheo Vol,     0.00%,    31.43%,    31.43%,Implied volatility of Exec DTheo Arr Mid Px at Arrival Mid
DTheo Vol Range,     0.00%,     0.11%,     0.11%,High minus low vol
DTheo Slip Arr Mid Vol,     0.00%,    -0.58%,    -0.58%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DTheo Slip Arr Mark Vol,     0.00%,    -0.55%,    -0.55%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
DTheo Slip Qwap Vol,     0.00%,    -0.49%,    -0.49%,Implied volatility of DTheo Slip Qwap Px at Qwap U
