,Maker,Taker,Total,Desc
Child Orders,         0,        91,        91,Number of child orders which had fills
Avg Child Size,         0,        19,        19,Avg size of child orders which had fills
Filled Contracts,         0,"     1,000","     1,000",Total number of contracts filled
Contract Fill Rate,        0%,       57%,       57%,Filled Contracts divided by total size sent by child orders which had fills
Fill Pct Spread,     0.00%,     0.00%,     0.00%,Quantity-weighted average of fill price in spread units at time of fill: 0 = on bid; 1 = on offer
Arrival Mid,      0.00,    105.80,    105.80,Mid at order creation
Arrival Mark,      0.00,    105.76,    105.76,SR Mark at order creation
Arrival U/L Mid,      0.00,   3848.79,   3848.79,Mid of underlying at order creation
Exec Px,      0.00,    105.39,    105.39,Average filled price
Px Range,      0.00,      2.80,      2.80,High minus low fill price
Arr Slip Mid Px,      0.00,     -0.41,     -0.41,Amount by which Exec Px was more favorable than mid at order creation
Arr Slip Mid USD,         0,"   -41,090","   -41,090",Above field * contracts filled * contract multiplier
Arr Slip Mark Px,      0.00,     -0.37,     -0.37,Amount by which Exec Px was more favorable than SR mark at order creation
Arr Slip Mark USD,         0,"   -36,956","   -36,956",Above field * contracts filled * contract multiplier
Exec DAdj Theo Arr Px,      0.00,    105.64,    105.64,Average of option fills delta-adjusted from fill-time mid back to arrival mid price
DAdj Theo Arr Px Range,      0.00,      0.69,      0.69,High minus low delta-adjusted fill price
Theo U/L Px,      0.00,   3848.28,   3848.28,The weighted average mid of underlying at fill times
Arr Slip Mid DAdj Theo Px,      0.00,     -0.16,     -0.16,Amount by which Exec DAdj Theo Px was more favorable than mid at order creation
Arr Slip Mid DAdj Theo USD,         0,"    15,723","    15,723",Above field * contracts filled * contract multiplier
Arr Slip Mark DAdj Theo Px,      0.00,     -0.12,     -0.12,Amount by which Exec DAdj Theo Px was more favorable than SR mark at order creation
Arr Slip Mark DAdj Theo USD,         0,"    11,589","    11,589",Above field * contracts filled * contract multiplier
Exec Theo Vol,     0.00%,    18.21%,    18.21%,Implied volatility of Exec DAdj Theo Px at arrival mid price
Vol Range,     0.00%,     0.11%,     0.11%,"All vol fields below correspond to the DAdj fields above, but expressed in vols"
Arr Slip Mid Theo Vol,     0.00%,    -0.03%,    -0.03%,
Arr Slip Mark Theo Vol,     0.00%,    -0.02%,    -0.02%,
Exec DAdj Act Arr Px,      0.00,    105.57,    105.57,Average of option fills delta-adjusted using actual hedge fills back to arrival mid price
Act U/L Px,      0.00,   3848.43,   3848.43,Weighted average actual hedge price
Arr Slip Mid DAdj Act Px,      0.00,     -0.23,     -0.23,Amount by which Exec DAdj Act Px was more favorable than mid at order creation
Arr Slip Mid DAdj Act USD,         0,"    23,205","    23,205",Above field * contracts filled * contract multiplier
Arr Slip Mark DAdj Act Px,      0.00,     -0.19,     -0.19,Amount by which Exec DAdj Act Px was more favorable than SR mark at order creation
Arr Slip Mark DAdj Act USD,         0,"    19,071","    19,071",Above field * contracts filled * contract multiplier
Exec Act Vol,     0.00%,    18.20%,    18.20%,Implied volatility of Exec DAdj Act Px at arrival mid price
Arr Slip Mid Act Vol,     0.00%,    -0.04%,    -0.04%,
Arr Slip Mark Act Vol,     0.00%,    -0.03%,    -0.03%,
