,Maker,Taker,Total,Desc
Child Orders,         0,         8,         8,Number of child orders which had fills
Avg Child Size,         0,        37,        37,Avg size of child orders which had fills
Filled Contracts,         0,       175,       175,Total number of contracts filled
Contract Fill Rate,        0%,       60%,       60%,Filled Contracts divided by total size sent by child orders which had fills
Fill Pct Spread,     0.00%,     0.00%,     0.00%,Quantity-weighted average of fill price in spread units at time of fill: 0 = on bid; 1 = on offer
Arrival Mid,      0.00,    111.95,    111.95,Mid at order creation
Arrival Mark,      0.00,    111.75,    111.75,SR Mark at order creation
Arrival U/L Mid,      0.00,   3780.69,   3780.69,Mid of underlying at order creation
Exec Px,      0.00,    117.49,    117.49,Average filled price
Px Range,      0.00,      0.10,      0.10,High minus low fill price
Arr Slip Mid Px,      0.00,      5.54,      5.54,Amount by which Exec Px was more favorable than mid at order creation
Arr Slip Mid USD,         0,"    96,875","    96,875",Above field * contracts filled * contract multiplier
Arr Slip Mark Px,      0.00,      5.74,      5.74,Amount by which Exec Px was more favorable than SR mark at order creation
Arr Slip Mark USD,         0,"   100,433","   100,433",Above field * contracts filled * contract multiplier
QWAP Px,      0.00,    115.17,    115.17,SR-calculated QWAP
QWAP U/L Px,      0.00,   3785.97,   3785.97,SR-calculated QWAP for underlying price
Slip to QWAP Px,      0.00,      2.32,      2.32,Amount by which Exec Px was more favorable than the above price
Slip to QWAP USD,         0,"    40,542","    40,542",Above field * contracts filled * contract multiplier
Exec DAdj Theo Arr Px,      0.00,    113.73,    113.73,Average of option fills delta-adjusted from fill-time mid back to arrival mid price
DAdj Theo Arr Px Range,      0.00,      0.20,      0.20,High minus low delta-adjusted fill price
Theo U/L Px,      0.00,   3788.42,   3788.42,The weighted average mid of underlying at fill times
Arr Slip Mid DAdj Theo Px,      0.00,      1.78,      1.78,Amount by which Exec DAdj Theo Px was more favorable than mid at order creation
Arr Slip Mid DAdj Theo USD,         0,"    31,144","    31,144",Above field * contracts filled * contract multiplier
Arr Slip Mark DAdj Theo Px,      0.00,      1.98,      1.98,Amount by which Exec DAdj Theo Px was more favorable than SR mark at order creation
Arr Slip Mark DAdj Theo USD,         0,"    34,703","    34,703",Above field * contracts filled * contract multiplier
Exec DAdj Theo QWAP Px,      0.00,    116.30,    116.30,Average of option fills delta-adjusted from fill-time mid back to QWAP u/l price
Slip to Exec DAdj Theo QWAP Px,      0.00,      1.13,      1.13,Amount by which Exec DAdj Theo QWAP Px was more favorable than the above price
Slip to Exec DAdj Theo QWAP USD,         0,"    19,716","    19,716",Above field * contracts filled * contract multiplier
Exec Theo Vol,     0.00%,    22.99%,    22.99%,Implied volatility of Exec DAdj Theo Arr Px at arrival mid price
Vol Range,     0.00%,     0.04%,     0.04%,"All vol fields below correspond to the DAdj fields above, but expressed in vols"
Arr Slip Mid Theo Vol,     0.00%,     0.32%,     0.32%,
Arr Slip Mark Theo Vol,     0.00%,     0.35%,     0.35%,
QWAP Vol,     0.00%,    22.79%,    22.79%,
Theo Slip to QWAP Vol,     0.00%,     0.20%,     0.20%,
